[RUN] method=adaptformer dataset=dtd classes=47 trainable=340,475 (0.395%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2534  test_acc=40.05  best=40.05  (85s)
  epoch 2/20  loss=1.8015  test_acc=73.99  best=73.99  (22s)
  epoch 3/20  loss=1.2521  (no eval)  (33s)
  epoch 4/20  loss=1.0681  test_acc=79.15  best=79.15  (23s)
  epoch 5/20  loss=0.9569  (no eval)  (22s)
  epoch 6/20  loss=0.8968  test_acc=79.84  best=79.84  (22s)
  epoch 7/20  loss=0.8522  (no eval)  (26s)
  epoch 8/20  loss=0.8209  test_acc=80.48  best=80.48  (26s)
  epoch 9/20  loss=0.8002  (no eval)  (22s)
  epoch 10/20  loss=0.7826  test_acc=80.96  best=80.96  (23s)
  epoch 11/20  loss=0.7724  (no eval)  (22s)
  epoch 12/20  loss=0.7657  test_acc=81.65  best=81.65  (15s)
  epoch 13/20  loss=0.7581  (no eval)  (16s)
  epoch 14/20  loss=0.7525  test_acc=81.91  best=81.91  (15s)
  epoch 15/20  loss=0.7496  (no eval)  (14s)
  epoch 16/20  loss=0.7481  test_acc=81.91  best=81.91  (15s)
  epoch 17/20  loss=0.7465  (no eval)  (16s)
  epoch 18/20  loss=0.7457  test_acc=82.07  best=82.07  (16s)
  epoch 19/20  loss=0.7448  test_acc=81.86  best=82.07  (15s)
  epoch 20/20  loss=0.7446  test_acc=81.91  best=82.07  (15s)
[DONE] adaptformer/dtd  best_acc=82.07  trainable%=0.395  mem=6762MB  time=598s
