[RUN] method=adaptformer dataset=dtd classes=47 trainable=1,225,787 (1.409%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.1002  test_acc=48.88  best=48.88  (51s)
  epoch 2/20  loss=1.6917  test_acc=73.56  best=73.56  (11s)
  epoch 3/20  loss=1.2132  (no eval)  (11s)
  epoch 4/20  loss=1.0326  test_acc=80.00  best=80.00  (12s)
  epoch 5/20  loss=0.9193  (no eval)  (12s)
  epoch 6/20  loss=0.8578  test_acc=80.43  best=80.43  (12s)
  epoch 7/20  loss=0.8248  (no eval)  (12s)
  epoch 8/20  loss=0.7968  test_acc=81.70  best=81.70  (12s)
  epoch 9/20  loss=0.7738  (no eval)  (12s)
  epoch 10/20  loss=0.7561  test_acc=82.39  best=82.39  (12s)
  epoch 11/20  loss=0.7450  (no eval)  (13s)
  epoch 12/20  loss=0.7382  test_acc=82.98  best=82.98  (13s)
  epoch 13/20  loss=0.7343  (no eval)  (13s)
  epoch 14/20  loss=0.7303  test_acc=82.98  best=82.98  (12s)
  epoch 15/20  loss=0.7285  (no eval)  (12s)
  epoch 16/20  loss=0.7265  test_acc=83.14  best=83.14  (13s)
  epoch 17/20  loss=0.7254  (no eval)  (13s)
  epoch 18/20  loss=0.7248  test_acc=82.93  best=83.14  (13s)
  epoch 19/20  loss=0.7245  test_acc=82.77  best=83.14  (13s)
  epoch 20/20  loss=0.7243  test_acc=82.77  best=83.14  (12s)
[DONE] adaptformer/dtd  best_acc=83.14  trainable%=1.409  mem=6831MB  time=369s
