[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2890  test_acc=38.03  best=38.03  (51s)
  epoch 2/20  loss=1.8608  test_acc=74.31  best=74.31  (14s)
  epoch 3/20  loss=1.2330  (no eval)  (14s)
  epoch 4/20  loss=1.0461  test_acc=79.84  best=79.84  (14s)
  epoch 5/20  loss=0.9507  (no eval)  (14s)
  epoch 6/20  loss=0.8840  test_acc=79.95  best=79.95  (15s)
  epoch 7/20  loss=0.8501  (no eval)  (14s)
  epoch 8/20  loss=0.8181  test_acc=80.11  best=80.11  (14s)
  epoch 9/20  loss=0.7960  (no eval)  (14s)
  epoch 10/20  loss=0.7826  test_acc=80.00  best=80.11  (16s)
  epoch 11/20  loss=0.7746  (no eval)  (85s)
  epoch 12/20  loss=0.7683  test_acc=80.00  best=80.11  (14s)
  epoch 13/20  loss=0.7628  (no eval)  (13s)
  epoch 14/20  loss=0.7601  test_acc=80.00  best=80.11  (13s)
  epoch 15/20  loss=0.7571  (no eval)  (13s)
  epoch 16/20  loss=0.7548  test_acc=80.69  best=80.69  (14s)
  epoch 17/20  loss=0.7526  (no eval)  (13s)
  epoch 18/20  loss=0.7531  test_acc=80.90  best=80.90  (13s)
  epoch 19/20  loss=0.7516  test_acc=80.85  best=80.90  (13s)
  epoch 20/20  loss=0.7514  test_acc=80.80  best=80.90  (13s)
[DONE] lora/dtd  best_acc=80.90  trainable%=0.384  mem=7127MB  time=475s
