[RUN] method=lora dataset=dtd classes=47 trainable=1,215,791 (1.397%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.1076  test_acc=49.36  best=49.36  (50s)
  epoch 2/20  loss=1.6564  test_acc=75.64  best=75.64  (13s)
  epoch 3/20  loss=1.1975  test_acc=77.29  best=77.29  (13s)
  epoch 4/20  loss=0.9986  test_acc=79.26  best=79.26  (13s)
  epoch 5/20  loss=0.8925  test_acc=80.85  best=80.85  (13s)
  epoch 6/20  loss=0.8391  test_acc=81.01  best=81.01  (13s)
  epoch 7/20  loss=0.8123  test_acc=80.69  best=81.01  (13s)
  epoch 8/20  loss=0.7838  test_acc=81.38  best=81.38  (13s)
  epoch 9/20  loss=0.7640  test_acc=81.97  best=81.97  (13s)
  epoch 10/20  loss=0.7524  test_acc=82.29  best=82.29  (13s)
  epoch 11/20  loss=0.7418  test_acc=82.39  best=82.39  (13s)
  epoch 12/20  loss=0.7396  test_acc=82.18  best=82.39  (13s)
  epoch 13/20  loss=0.7344  test_acc=82.07  best=82.39  (13s)
  epoch 14/20  loss=0.7311  test_acc=82.77  best=82.77  (13s)
  epoch 15/20  loss=0.7286  test_acc=82.61  best=82.77  (13s)
  epoch 16/20  loss=0.7263  test_acc=82.87  best=82.87  (13s)
  epoch 17/20  loss=0.7259  test_acc=82.66  best=82.87  (13s)
  epoch 18/20  loss=0.7253  test_acc=82.50  best=82.87  (13s)
  epoch 19/20  loss=0.7248  test_acc=82.61  best=82.87  (13s)
  epoch 20/20  loss=0.7244  test_acc=82.66  best=82.87  (13s)
[DONE] lora/dtd  best_acc=82.87  trainable%=1.397  mem=7167MB  time=407s
