[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2544  test_acc=39.57  best=39.57  (50s)
  epoch 2/20  loss=1.7909  test_acc=74.47  best=74.47  (13s)
  epoch 3/20  loss=1.2183  test_acc=79.31  best=79.31  (13s)
  epoch 4/20  loss=1.0330  test_acc=79.63  best=79.63  (13s)
  epoch 5/20  loss=0.9374  test_acc=79.63  best=79.63  (13s)
  epoch 6/20  loss=0.8738  test_acc=80.27  best=80.27  (13s)
  epoch 7/20  loss=0.8397  test_acc=80.32  best=80.32  (13s)
  epoch 8/20  loss=0.8097  test_acc=80.59  best=80.59  (13s)
  epoch 9/20  loss=0.7879  test_acc=80.32  best=80.59  (13s)
  epoch 10/20  loss=0.7745  test_acc=81.44  best=81.44  (13s)
  epoch 11/20  loss=0.7667  test_acc=80.85  best=81.44  (13s)
  epoch 12/20  loss=0.7602  test_acc=80.74  best=81.44  (13s)
  epoch 13/20  loss=0.7540  test_acc=80.80  best=81.44  (13s)
  epoch 14/20  loss=0.7518  test_acc=81.01  best=81.44  (13s)
  epoch 15/20  loss=0.7490  test_acc=81.49  best=81.49  (13s)
  epoch 16/20  loss=0.7468  test_acc=81.49  best=81.49  (13s)
  epoch 17/20  loss=0.7447  test_acc=81.44  best=81.49  (13s)
  epoch 18/20  loss=0.7450  test_acc=81.44  best=81.49  (13s)
  epoch 19/20  loss=0.7439  test_acc=81.44  best=81.49  (13s)
  epoch 20/20  loss=0.7437  test_acc=81.38  best=81.49  (13s)
[DONE] lora/dtd  best_acc=81.49  trainable%=0.384  mem=7127MB  time=407s
