[RUN] method=full_ft dataset=dtd classes=47 trainable=85,834,799 (100.000%) lr=0.0001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.4661  test_acc=65.69  best=65.69  (51s)
  epoch 2/20  loss=1.4320  test_acc=74.63  best=74.63  (14s)
  epoch 3/20  loss=1.0904  (no eval)  (14s)
  epoch 4/20  loss=0.9588  test_acc=76.70  best=76.70  (15s)
  epoch 5/20  loss=0.8795  (no eval)  (15s)
  epoch 6/20  loss=0.8464  test_acc=77.82  best=77.82  (15s)
  epoch 7/20  loss=0.8052  (no eval)  (15s)
  epoch 8/20  loss=0.7936  test_acc=77.55  best=77.82  (15s)
  epoch 9/20  loss=0.7578  (no eval)  (16s)
  epoch 10/20  loss=0.7570  test_acc=78.62  best=78.62  (16s)
  epoch 11/20  loss=0.7441  (no eval)  (16s)
  epoch 12/20  loss=0.7235  test_acc=80.37  best=80.37  (16s)
  epoch 13/20  loss=0.7174  (no eval)  (16s)
  epoch 14/20  loss=0.7114  test_acc=81.86  best=81.86  (16s)
  epoch 15/20  loss=0.7064  (no eval)  (16s)
  epoch 16/20  loss=0.7045  test_acc=81.76  best=81.86  (16s)
  epoch 17/20  loss=0.7033  (no eval)  (16s)
  epoch 18/20  loss=0.7030  test_acc=81.81  best=81.86  (16s)
  epoch 19/20  loss=0.7027  test_acc=81.86  best=81.86  (16s)
  epoch 20/20  loss=0.7026  test_acc=81.86  best=81.86  (16s)
[DONE] full_ft/dtd  best_acc=81.86  trainable%=100.000  mem=9594MB  time=430s
