[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.0003 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.8193  test_acc=6.86  best=6.86  (50s)
  epoch 2/20  loss=3.2395  test_acc=50.11  best=50.11  (13s)
  epoch 3/20  loss=1.7388  (no eval)  (13s)
  epoch 4/20  loss=1.3496  test_acc=75.74  best=75.74  (13s)
  epoch 5/20  loss=1.1991  (no eval)  (13s)
  epoch 6/20  loss=1.1056  test_acc=78.94  best=78.94  (14s)
  epoch 7/20  loss=1.0433  (no eval)  (14s)
  epoch 8/20  loss=0.9966  test_acc=79.89  best=79.89  (14s)
  epoch 9/20  loss=0.9513  (no eval)  (14s)
  epoch 10/20  loss=0.9178  test_acc=80.32  best=80.32  (14s)
  epoch 11/20  loss=0.9002  (no eval)  (14s)
  epoch 12/20  loss=0.8782  test_acc=79.89  best=80.32  (14s)
  epoch 13/20  loss=0.8657  (no eval)  (14s)
  epoch 14/20  loss=0.8554  test_acc=79.68  best=80.32  (14s)
  epoch 15/20  loss=0.8491  (no eval)  (14s)
  epoch 16/20  loss=0.8417  test_acc=79.79  best=80.32  (14s)
  epoch 17/20  loss=0.8362  (no eval)  (14s)
  epoch 18/20  loss=0.8348  test_acc=80.00  best=80.32  (14s)
  epoch 19/20  loss=0.8343  test_acc=79.89  best=80.32  (14s)
  epoch 20/20  loss=0.8320  test_acc=80.00  best=80.32  (15s)
[DONE] lora/dtd  best_acc=80.32  trainable%=0.384  mem=7127MB  time=400s
