[RUN] method=ssf dataset=dtd classes=47 trainable=109,871 (0.128%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2376  test_acc=40.48  best=40.48  (50s)
  epoch 2/20  loss=1.8686  test_acc=72.55  best=72.55  (12s)
  epoch 3/20  loss=1.2797  (no eval)  (13s)
  epoch 4/20  loss=1.1017  test_acc=77.50  best=77.50  (13s)
  epoch 5/20  loss=0.9991  (no eval)  (13s)
  epoch 6/20  loss=0.9433  test_acc=78.67  best=78.67  (13s)
  epoch 7/20  loss=0.8929  (no eval)  (14s)
  epoch 8/20  loss=0.8695  test_acc=80.05  best=80.05  (14s)
  epoch 9/20  loss=0.8491  (no eval)  (14s)
  epoch 10/20  loss=0.8293  test_acc=79.89  best=80.05  (14s)
  epoch 11/20  loss=0.8160  (no eval)  (14s)
  epoch 12/20  loss=0.8032  test_acc=79.73  best=80.05  (15s)
  epoch 13/20  loss=0.7962  (no eval)  (14s)
  epoch 14/20  loss=0.7899  test_acc=79.89  best=80.05  (14s)
  epoch 15/20  loss=0.7861  (no eval)  (14s)
  epoch 16/20  loss=0.7810  test_acc=80.05  best=80.05  (14s)
  epoch 17/20  loss=0.7809  (no eval)  (15s)
  epoch 18/20  loss=0.7788  test_acc=79.84  best=80.05  (14s)
  epoch 19/20  loss=0.7774  test_acc=79.79  best=80.05  (14s)
  epoch 20/20  loss=0.7772  test_acc=79.84  best=80.05  (14s)
[DONE] ssf/dtd  best_acc=80.05  trainable%=0.128  mem=8899MB  time=401s
