[RUN] method=vpt dataset=dtd classes=47 trainable=51,503 (0.060%) lr=0.005 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.2266  test_acc=67.45  best=67.45  (48s)
  epoch 2/20  loss=1.6598  test_acc=69.31  best=69.31  (11s)
  epoch 3/20  loss=1.4278  (no eval)  (12s)
  epoch 4/20  loss=1.2243  test_acc=75.27  best=75.27  (12s)
  epoch 5/20  loss=1.0922  (no eval)  (12s)
  epoch 6/20  loss=1.0153  test_acc=75.53  best=75.53  (12s)
  epoch 7/20  loss=0.9887  (no eval)  (12s)
  epoch 8/20  loss=0.9420  test_acc=75.90  best=75.90  (12s)
  epoch 9/20  loss=0.9006  (no eval)  (12s)
  epoch 10/20  loss=0.8691  test_acc=78.35  best=78.35  (12s)
  epoch 11/20  loss=0.8467  (no eval)  (12s)
  epoch 12/20  loss=0.8191  test_acc=79.15  best=79.15  (13s)
  epoch 13/20  loss=0.8102  (no eval)  (13s)
  epoch 14/20  loss=0.8005  test_acc=79.79  best=79.79  (13s)
  epoch 15/20  loss=0.7951  (no eval)  (13s)
  epoch 16/20  loss=0.7898  test_acc=79.26  best=79.79  (13s)
  epoch 17/20  loss=0.7864  (no eval)  (13s)
  epoch 18/20  loss=0.7852  test_acc=79.41  best=79.79  (13s)
  epoch 19/20  loss=0.7838  test_acc=79.26  best=79.79  (13s)
  epoch 20/20  loss=0.7826  test_acc=79.26  best=79.79  (13s)
[DONE] vpt/dtd  best_acc=79.79  trainable%=0.060  mem=6874MB  time=364s
