[RUN] method=adaptformer dataset=dtd classes=47 trainable=1,225,787 (1.409%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=5.1121  test_acc=2.23  best=2.23  (40s)
  epoch 2/20  loss=4.7163  test_acc=5.69  best=5.69  (1s)
  epoch 3/20  loss=3.5753  (no eval)  (1s)
  epoch 4/20  loss=2.6760  test_acc=31.86  best=31.86  (1s)
  epoch 5/20  loss=1.8660  (no eval)  (1s)
  epoch 6/20  loss=1.3972  test_acc=49.95  best=49.95  (1s)
  epoch 7/20  loss=1.1791  (no eval)  (1s)
  epoch 8/20  loss=1.0768  test_acc=57.18  best=57.18  (1s)
  epoch 9/20  loss=1.0021  (no eval)  (1s)
  epoch 10/20  loss=0.9308  test_acc=58.40  best=58.40  (1s)
  epoch 11/20  loss=0.9028  (no eval)  (1s)
  epoch 12/20  loss=0.8700  test_acc=57.82  best=58.40  (1s)
  epoch 13/20  loss=0.8420  (no eval)  (1s)
  epoch 14/20  loss=0.8236  test_acc=57.61  best=58.40  (1s)
  epoch 15/20  loss=0.8173  (no eval)  (1s)
  epoch 16/20  loss=0.8030  test_acc=57.71  best=58.40  (1s)
  epoch 17/20  loss=0.8048  (no eval)  (2s)
  epoch 18/20  loss=0.8003  test_acc=57.87  best=58.40  (1s)
  epoch 19/20  loss=0.7995  test_acc=57.93  best=58.40  (1s)
  epoch 20/20  loss=0.7958  test_acc=57.82  best=58.40  (2s)
[DONE] adaptformer/dtd  best_acc=58.40  trainable%=1.409  mem=6829MB  time=151s
