[RUN] method=bitfit dataset=dtd classes=47 trainable=139,055 (0.162%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.9001  test_acc=5.00  best=5.00  (43s)
  epoch 2/20  loss=3.5210  test_acc=34.26  best=34.26  (3s)
  epoch 3/20  loss=2.0108  (no eval)  (3s)
  epoch 4/20  loss=1.3540  test_acc=66.60  best=66.60  (3s)
  epoch 5/20  loss=1.1429  (no eval)  (4s)
  epoch 6/20  loss=0.9961  test_acc=68.24  best=68.24  (3s)
  epoch 7/20  loss=0.9166  (no eval)  (3s)
  epoch 8/20  loss=0.8672  test_acc=70.05  best=70.05  (4s)
  epoch 9/20  loss=0.8285  (no eval)  (4s)
  epoch 10/20  loss=0.8102  test_acc=69.79  best=70.05  (4s)
  epoch 11/20  loss=0.7940  (no eval)  (4s)
  epoch 12/20  loss=0.7883  test_acc=70.32  best=70.32  (4s)
  epoch 13/20  loss=0.7781  (no eval)  (4s)
  epoch 14/20  loss=0.7755  test_acc=70.96  best=70.96  (4s)
  epoch 15/20  loss=0.7718  (no eval)  (4s)
  epoch 16/20  loss=0.7705  test_acc=70.80  best=70.96  (4s)
  epoch 17/20  loss=0.7681  (no eval)  (4s)
  epoch 18/20  loss=0.7664  test_acc=70.74  best=70.96  (4s)
  epoch 19/20  loss=0.7673  test_acc=70.59  best=70.96  (4s)
  epoch 20/20  loss=0.7665  test_acc=70.64  best=70.96  (4s)
[DONE] bitfit/dtd  best_acc=70.96  trainable%=0.162  mem=6349MB  time=194s
