[RUN] method=linear_probe dataset=dtd classes=47 trainable=36,143 (0.042%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=5.2167  test_acc=1.97  best=1.97  (40s)
  epoch 2/20  loss=4.8386  test_acc=3.83  best=3.83  (1s)
  epoch 3/20  loss=4.0347  (no eval)  (1s)
  epoch 4/20  loss=3.0399  test_acc=22.45  best=22.45  (1s)
  epoch 5/20  loss=2.2745  (no eval)  (1s)
  epoch 6/20  loss=1.7392  test_acc=39.41  best=39.41  (1s)
  epoch 7/20  loss=1.4815  (no eval)  (1s)
  epoch 8/20  loss=1.2775  test_acc=48.46  best=48.46  (1s)
  epoch 9/20  loss=1.0946  (no eval)  (1s)
  epoch 10/20  loss=1.0361  test_acc=52.34  best=52.34  (1s)
  epoch 11/20  loss=0.9964  (no eval)  (1s)
  epoch 12/20  loss=0.9442  test_acc=54.57  best=54.57  (1s)
  epoch 13/20  loss=0.9261  (no eval)  (1s)
  epoch 14/20  loss=0.9154  test_acc=54.89  best=54.89  (1s)
  epoch 15/20  loss=0.8949  (no eval)  (1s)
  epoch 16/20  loss=0.8882  test_acc=54.95  best=54.95  (1s)
  epoch 17/20  loss=0.8895  (no eval)  (1s)
  epoch 18/20  loss=0.8802  test_acc=54.68  best=54.95  (1s)
  epoch 19/20  loss=0.8691  test_acc=54.63  best=54.95  (1s)
  epoch 20/20  loss=0.8701  test_acc=54.68  best=54.95  (1s)
[DONE] linear_probe/dtd  best_acc=54.95  trainable%=0.042  mem=1752MB  time=139s
