[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.7196  test_acc=14.41  best=14.41  (43s)
  epoch 2/20  loss=2.6279  test_acc=62.93  best=62.93  (7s)
  epoch 3/20  loss=1.4008  (no eval)  (7s)
  epoch 4/20  loss=1.0935  test_acc=74.79  best=74.79  (7s)
  epoch 5/20  loss=0.9623  (no eval)  (7s)
  epoch 6/20  loss=0.8798  test_acc=76.22  best=76.22  (8s)
  epoch 7/20  loss=0.8366  (no eval)  (8s)
  epoch 8/20  loss=0.8088  test_acc=76.76  best=76.76  (8s)
  epoch 9/20  loss=0.7857  (no eval)  (8s)
  epoch 10/20  loss=0.7729  test_acc=77.93  best=77.93  (8s)
  epoch 11/20  loss=0.7680  (no eval)  (8s)
  epoch 12/20  loss=0.7590  test_acc=77.82  best=77.93  (8s)
  epoch 13/20  loss=0.7571  (no eval)  (8s)
  epoch 14/20  loss=0.7526  test_acc=78.03  best=78.03  (8s)
  epoch 15/20  loss=0.7512  (no eval)  (8s)
  epoch 16/20  loss=0.7489  test_acc=77.98  best=78.03  (8s)
  epoch 17/20  loss=0.7476  (no eval)  (8s)
  epoch 18/20  loss=0.7463  test_acc=78.19  best=78.19  (8s)
  epoch 19/20  loss=0.7456  test_acc=78.19  best=78.19  (9s)
  epoch 20/20  loss=0.7461  test_acc=78.09  best=78.19  (8s)
[DONE] lora/dtd  best_acc=78.19  trainable%=0.384  mem=7127MB  time=284s
