[RUN] method=lora_ssf dataset=dtd classes=47 trainable=404,783 (0.470%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.5949  test_acc=15.59  best=15.59  (51s)
  epoch 2/20  loss=2.5423  test_acc=62.77  best=62.77  (9s)
  epoch 3/20  loss=1.4515  (no eval)  (9s)
  epoch 4/20  loss=1.1573  test_acc=75.32  best=75.32  (9s)
  epoch 5/20  loss=0.9914  (no eval)  (10s)
  epoch 6/20  loss=0.9008  test_acc=75.48  best=75.48  (10s)
  epoch 7/20  loss=0.8503  (no eval)  (10s)
  epoch 8/20  loss=0.8117  test_acc=77.18  best=77.18  (10s)
  epoch 9/20  loss=0.7926  (no eval)  (10s)
  epoch 10/20  loss=0.7784  test_acc=77.87  best=77.87  (10s)
  epoch 11/20  loss=0.7670  (no eval)  (10s)
  epoch 12/20  loss=0.7600  test_acc=77.77  best=77.87  (10s)
  epoch 13/20  loss=0.7547  (no eval)  (10s)
  epoch 14/20  loss=0.7514  test_acc=77.87  best=77.87  (10s)
  epoch 15/20  loss=0.7484  (no eval)  (10s)
  epoch 16/20  loss=0.7471  test_acc=77.87  best=77.87  (10s)
  epoch 17/20  loss=0.7452  (no eval)  (10s)
  epoch 18/20  loss=0.7450  test_acc=78.30  best=78.30  (10s)
  epoch 19/20  loss=0.7443  test_acc=78.30  best=78.30  (10s)
  epoch 20/20  loss=0.7447  test_acc=78.30  best=78.30  (10s)
[DONE] lora_ssf/dtd  best_acc=78.30  trainable%=0.470  mem=9798MB  time=341s
