[RUN] method=adaptformer dataset=pets classes=37 trainable=1,218,097 (1.400%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.4187  test_acc=78.47  best=78.47  (57s)
  epoch 2/20  loss=1.0499  test_acc=91.22  best=91.22  (12s)
  epoch 3/20  loss=0.8594  (no eval)  (12s)
  epoch 4/20  loss=0.7959  test_acc=93.98  best=93.98  (13s)
  epoch 5/20  loss=0.7556  (no eval)  (13s)
  epoch 6/20  loss=0.7378  test_acc=94.30  best=94.30  (14s)
  epoch 7/20  loss=0.7295  (no eval)  (14s)
  epoch 8/20  loss=0.7198  test_acc=94.82  best=94.82  (14s)
  epoch 9/20  loss=0.7100  (no eval)  (14s)
  epoch 10/20  loss=0.7035  test_acc=94.93  best=94.93  (14s)
  epoch 11/20  loss=0.6976  (no eval)  (14s)
  epoch 12/20  loss=0.6940  test_acc=95.07  best=95.07  (14s)
  epoch 13/20  loss=0.6936  (no eval)  (14s)
  epoch 14/20  loss=0.6911  test_acc=95.07  best=95.07  (14s)
  epoch 15/20  loss=0.6888  (no eval)  (14s)
  epoch 16/20  loss=0.6879  test_acc=94.90  best=95.07  (14s)
  epoch 17/20  loss=0.6884  (no eval)  (14s)
  epoch 18/20  loss=0.6878  test_acc=94.99  best=95.07  (14s)
  epoch 19/20  loss=0.6875  test_acc=95.01  best=95.07  (14s)
  epoch 20/20  loss=0.6860  test_acc=95.01  best=95.07  (15s)
[CKPT] saved interp__vit_b__adaptformer__pets__s42__f100__r8__a64__p20.pt (62 tensors)
[DONE] adaptformer/pets  best_acc=95.07  trainable%=1.400  mem=6830MB  time=451s
