[RUN] method=linear_probe dataset=pets classes=37 trainable=28,453 (0.033%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.6803  test_acc=61.05  best=61.05  (48s)
  epoch 2/20  loss=1.2407  test_acc=88.88  best=88.88  (5s)
  epoch 3/20  loss=0.9603  (no eval)  (5s)
  epoch 4/20  loss=0.8543  test_acc=90.60  best=90.60  (5s)
  epoch 5/20  loss=0.8165  (no eval)  (5s)
  epoch 6/20  loss=0.7885  test_acc=91.39  best=91.39  (5s)
  epoch 7/20  loss=0.7758  (no eval)  (5s)
  epoch 8/20  loss=0.7636  test_acc=92.07  best=92.07  (5s)
  epoch 9/20  loss=0.7569  (no eval)  (6s)
  epoch 10/20  loss=0.7482  test_acc=91.69  best=92.07  (6s)
  epoch 11/20  loss=0.7443  (no eval)  (6s)
  epoch 12/20  loss=0.7388  test_acc=92.01  best=92.07  (6s)
  epoch 13/20  loss=0.7342  (no eval)  (6s)
  epoch 14/20  loss=0.7321  test_acc=92.34  best=92.34  (6s)
  epoch 15/20  loss=0.7292  (no eval)  (6s)
  epoch 16/20  loss=0.7275  test_acc=92.18  best=92.34  (6s)
  epoch 17/20  loss=0.7247  (no eval)  (6s)
  epoch 18/20  loss=0.7272  test_acc=92.18  best=92.34  (6s)
  epoch 19/20  loss=0.7262  test_acc=92.10  best=92.34  (6s)
  epoch 20/20  loss=0.7235  test_acc=92.12  best=92.34  (6s)
[CKPT] saved interp__vit_b__linear_probe__pets__s42__f100__r8__a64__p20.pt (2 tensors)
[DONE] linear_probe/pets  best_acc=92.34  trainable%=0.033  mem=1752MB  time=279s
