[RUN] method=lora dataset=pets classes=37 trainable=323,365 (0.375%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5913  test_acc=72.04  best=72.04  (56s)
  epoch 2/20  loss=1.0841  test_acc=93.00  best=93.00  (14s)
  epoch 3/20  loss=0.8619  (no eval)  (15s)
  epoch 4/20  loss=0.8027  test_acc=94.28  best=94.28  (15s)
  epoch 5/20  loss=0.7692  (no eval)  (16s)
  epoch 6/20  loss=0.7438  test_acc=94.85  best=94.85  (16s)
  epoch 7/20  loss=0.7356  (no eval)  (16s)
  epoch 8/20  loss=0.7231  test_acc=94.49  best=94.85  (16s)
  epoch 9/20  loss=0.7169  (no eval)  (16s)
  epoch 10/20  loss=0.7144  test_acc=94.79  best=94.85  (16s)
  epoch 11/20  loss=0.7113  (no eval)  (16s)
  epoch 12/20  loss=0.7081  test_acc=94.74  best=94.85  (16s)
  epoch 13/20  loss=0.7048  (no eval)  (16s)
  epoch 14/20  loss=0.7017  test_acc=94.17  best=94.85  (16s)
  epoch 15/20  loss=0.7003  (no eval)  (16s)
  epoch 16/20  loss=0.6980  test_acc=94.88  best=94.88  (16s)
  epoch 17/20  loss=0.6967  (no eval)  (16s)
  epoch 18/20  loss=0.6956  test_acc=94.82  best=94.88  (16s)
  epoch 19/20  loss=0.6964  test_acc=94.85  best=94.88  (16s)
  epoch 20/20  loss=0.6965  test_acc=94.82  best=94.88  (17s)
[CKPT] saved interp__vit_b__lora__pets__s42__f100__r8__a64__p20.pt (50 tensors)
[DONE] lora/pets  best_acc=94.88  trainable%=0.375  mem=7127MB  time=497s
