[RUN] method=ssf dataset=pets classes=37 trainable=102,181 (0.119%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=2.9937  test_acc=85.91  best=85.91  (58s)
  epoch 2/20  loss=1.0577  test_acc=91.36  best=91.36  (14s)
  epoch 3/20  loss=0.8807  (no eval)  (15s)
  epoch 4/20  loss=0.8257  test_acc=92.86  best=92.86  (15s)
  epoch 5/20  loss=0.7955  (no eval)  (16s)
  epoch 6/20  loss=0.7708  test_acc=93.70  best=93.70  (16s)
  epoch 7/20  loss=0.7521  (no eval)  (16s)
  epoch 8/20  loss=0.7391  test_acc=94.19  best=94.19  (16s)
  epoch 9/20  loss=0.7318  (no eval)  (16s)
  epoch 10/20  loss=0.7234  test_acc=94.14  best=94.19  (16s)
  epoch 11/20  loss=0.7212  (no eval)  (16s)
  epoch 12/20  loss=0.7158  test_acc=94.39  best=94.39  (16s)
  epoch 13/20  loss=0.7137  (no eval)  (16s)
  epoch 14/20  loss=0.7114  test_acc=94.39  best=94.39  (16s)
  epoch 15/20  loss=0.7080  (no eval)  (16s)
  epoch 16/20  loss=0.7063  test_acc=94.19  best=94.39  (16s)
  epoch 17/20  loss=0.7057  (no eval)  (16s)
  epoch 18/20  loss=0.7040  test_acc=94.33  best=94.39  (16s)
  epoch 19/20  loss=0.7042  test_acc=94.39  best=94.39  (16s)
  epoch 20/20  loss=0.7038  test_acc=94.44  best=94.44  (17s)
[CKPT] saved interp__vit_b__ssf__pets__s42__f100__r8__a64__p20.pt (98 tensors)
[DONE] ssf/pets  best_acc=94.44  trainable%=0.119  mem=8900MB  time=505s
