[RUN] method=adaptformer dataset=dtd classes=47 trainable=1,225,787 (1.409%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9057  test_acc=52.18  best=52.18  (49s)
  epoch 2/20  loss=1.6146  test_acc=75.85  best=75.85  (11s)
  epoch 3/20  loss=1.2115  (no eval)  (11s)
  epoch 4/20  loss=1.0277  test_acc=80.16  best=80.16  (12s)
  epoch 5/20  loss=0.9183  (no eval)  (12s)
  epoch 6/20  loss=0.8574  test_acc=81.76  best=81.76  (12s)
  epoch 7/20  loss=0.8163  (no eval)  (12s)
  epoch 8/20  loss=0.7884  test_acc=82.07  best=82.07  (12s)
  epoch 9/20  loss=0.7685  (no eval)  (12s)
  epoch 10/20  loss=0.7553  test_acc=83.03  best=83.03  (12s)
  epoch 11/20  loss=0.7456  (no eval)  (13s)
  epoch 12/20  loss=0.7398  test_acc=82.61  best=83.03  (13s)
  epoch 13/20  loss=0.7337  (no eval)  (12s)
  epoch 14/20  loss=0.7320  test_acc=83.40  best=83.40  (12s)
  epoch 15/20  loss=0.7287  (no eval)  (13s)
  epoch 16/20  loss=0.7273  test_acc=83.09  best=83.40  (12s)
  epoch 17/20  loss=0.7259  (no eval)  (13s)
  epoch 18/20  loss=0.7248  test_acc=83.19  best=83.40  (13s)
  epoch 19/20  loss=0.7246  test_acc=83.24  best=83.40  (13s)
  epoch 20/20  loss=0.7241  test_acc=83.24  best=83.40  (13s)
[DONE] adaptformer/dtd  best_acc=83.40  trainable%=1.409  mem=6831MB  time=366s
