[RUN] method=adaptformer dataset=flowers102 classes=102 trainable=1,268,082 (1.456%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.4008  test_acc=16.13  best=16.13  (43s)
  epoch 2/30  loss=2.1736  (no eval)  (6s)
  epoch 3/30  loss=0.9949  test_acc=98.75  best=98.75  (6s)
  epoch 4/30  loss=0.8912  (no eval)  (6s)
  epoch 5/30  loss=0.8482  (no eval)  (7s)
  epoch 6/30  loss=0.8268  test_acc=99.48  best=99.48  (6s)
  epoch 7/30  loss=0.8154  (no eval)  (6s)
  epoch 8/30  loss=0.8087  (no eval)  (7s)
  epoch 9/30  loss=0.8043  test_acc=99.58  best=99.58  (6s)
  epoch 10/30  loss=0.8018  (no eval)  (7s)
  epoch 11/30  loss=0.7992  (no eval)  (7s)
  epoch 12/30  loss=0.7976  test_acc=99.63  best=99.63  (7s)
  epoch 13/30  loss=0.7963  (no eval)  (7s)
  epoch 14/30  loss=0.7952  (no eval)  (7s)
  epoch 15/30  loss=0.7939  test_acc=99.63  best=99.63  (7s)
  epoch 16/30  loss=0.7930  (no eval)  (7s)
  epoch 17/30  loss=0.7920  (no eval)  (7s)
  epoch 18/30  loss=0.7913  test_acc=99.63  best=99.63  (7s)
  epoch 19/30  loss=0.7910  (no eval)  (7s)
  epoch 20/30  loss=0.7905  (no eval)  (7s)
  epoch 21/30  loss=0.7903  test_acc=99.63  best=99.63  (7s)
  epoch 22/30  loss=0.7897  (no eval)  (7s)
  epoch 23/30  loss=0.7899  (no eval)  (7s)
  epoch 24/30  loss=0.7892  test_acc=99.63  best=99.63  (7s)
  epoch 25/30  loss=0.7893  (no eval)  (7s)
  epoch 26/30  loss=0.7890  (no eval)  (7s)
  epoch 27/30  loss=0.7890  test_acc=99.63  best=99.63  (7s)
  epoch 28/30  loss=0.7899  test_acc=99.63  best=99.63  (7s)
  epoch 29/30  loss=0.7891  test_acc=99.63  best=99.63  (7s)
  epoch 30/30  loss=0.7890  test_acc=99.63  best=99.63  (7s)
[DONE] adaptformer/flowers102  best_acc=99.63  trainable%=1.456  mem=6830MB  time=409s
