[RUN] method=bitfit dataset=dtd classes=47 trainable=139,055 (0.162%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.0156  test_acc=43.30  best=43.30  (47s)
  epoch 2/20  loss=1.8242  test_acc=74.31  best=74.31  (11s)
  epoch 3/20  loss=1.2664  (no eval)  (11s)
  epoch 4/20  loss=1.0989  test_acc=79.10  best=79.10  (11s)
  epoch 5/20  loss=1.0032  (no eval)  (11s)
  epoch 6/20  loss=0.9393  test_acc=79.89  best=79.89  (12s)
  epoch 7/20  loss=0.8972  (no eval)  (12s)
  epoch 8/20  loss=0.8722  test_acc=80.37  best=80.37  (12s)
  epoch 9/20  loss=0.8469  (no eval)  (12s)
  epoch 10/20  loss=0.8284  test_acc=80.48  best=80.48  (12s)
  epoch 11/20  loss=0.8173  (no eval)  (12s)
  epoch 12/20  loss=0.8044  test_acc=80.96  best=80.96  (12s)
  epoch 13/20  loss=0.7958  (no eval)  (12s)
  epoch 14/20  loss=0.7896  test_acc=80.80  best=80.96  (12s)
  epoch 15/20  loss=0.7870  (no eval)  (12s)
  epoch 16/20  loss=0.7848  test_acc=81.01  best=81.01  (12s)
  epoch 17/20  loss=0.7810  (no eval)  (12s)
  epoch 18/20  loss=0.7792  test_acc=81.01  best=81.01  (12s)
  epoch 19/20  loss=0.7780  test_acc=81.01  best=81.01  (12s)
  epoch 20/20  loss=0.7774  test_acc=81.06  best=81.06  (12s)
[DONE] bitfit/dtd  best_acc=81.06  trainable%=0.162  mem=6349MB  time=353s
