[RUN] method=bitfit dataset=pets classes=37 trainable=131,365 (0.153%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.7664  test_acc=70.62  best=70.62  (47s)
  epoch 2/20  loss=1.1182  test_acc=91.80  best=91.80  (10s)
  epoch 3/20  loss=0.8782  (no eval)  (10s)
  epoch 4/20  loss=0.8188  test_acc=92.67  best=92.67  (11s)
  epoch 5/20  loss=0.7868  (no eval)  (11s)
  epoch 6/20  loss=0.7735  test_acc=93.81  best=93.81  (11s)
  epoch 7/20  loss=0.7569  (no eval)  (11s)
  epoch 8/20  loss=0.7472  test_acc=94.47  best=94.47  (11s)
  epoch 9/20  loss=0.7375  (no eval)  (11s)
  epoch 10/20  loss=0.7348  test_acc=94.22  best=94.47  (11s)
  epoch 11/20  loss=0.7292  (no eval)  (12s)
  epoch 12/20  loss=0.7225  test_acc=94.39  best=94.47  (12s)
  epoch 13/20  loss=0.7216  (no eval)  (12s)
  epoch 14/20  loss=0.7215  test_acc=94.69  best=94.69  (12s)
  epoch 15/20  loss=0.7189  (no eval)  (12s)
  epoch 16/20  loss=0.7166  test_acc=94.55  best=94.69  (12s)
  epoch 17/20  loss=0.7145  (no eval)  (12s)
  epoch 18/20  loss=0.7141  test_acc=94.60  best=94.69  (12s)
  epoch 19/20  loss=0.7149  test_acc=94.55  best=94.69  (12s)
  epoch 20/20  loss=0.7152  test_acc=94.44  best=94.69  (12s)
[DONE] bitfit/pets  best_acc=94.69  trainable%=0.153  mem=6348MB  time=372s
