[RUN] method=full_ft dataset=dtd classes=47 trainable=85,834,799 (100.000%) lr=0.0001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.3288  test_acc=64.26  best=64.26  (51s)
  epoch 2/20  loss=1.4237  test_acc=74.79  best=74.79  (14s)
  epoch 3/20  loss=1.0642  (no eval)  (14s)
  epoch 4/20  loss=0.9497  test_acc=77.02  best=77.02  (15s)
  epoch 5/20  loss=0.8739  (no eval)  (15s)
  epoch 6/20  loss=0.8299  test_acc=77.55  best=77.55  (15s)
  epoch 7/20  loss=0.8069  (no eval)  (15s)
  epoch 8/20  loss=0.7881  test_acc=77.13  best=77.55  (16s)
  epoch 9/20  loss=0.7634  (no eval)  (16s)
  epoch 10/20  loss=0.7560  test_acc=78.51  best=78.51  (16s)
  epoch 11/20  loss=0.7415  (no eval)  (16s)
  epoch 12/20  loss=0.7257  test_acc=79.95  best=79.95  (16s)
  epoch 13/20  loss=0.7184  (no eval)  (16s)
  epoch 14/20  loss=0.7135  test_acc=80.53  best=80.53  (16s)
  epoch 15/20  loss=0.7081  (no eval)  (16s)
  epoch 16/20  loss=0.7052  test_acc=80.80  best=80.80  (16s)
  epoch 17/20  loss=0.7036  (no eval)  (16s)
  epoch 18/20  loss=0.7030  test_acc=80.96  best=80.96  (16s)
  epoch 19/20  loss=0.7034  test_acc=80.96  best=80.96  (16s)
  epoch 20/20  loss=0.7026  test_acc=80.96  best=80.96  (16s)
[DONE] full_ft/dtd  best_acc=80.96  trainable%=100.000  mem=9594MB  time=430s
