[RUN] method=full_ft dataset=flowers102 classes=102 trainable=85,877,094 (100.000%) lr=0.0001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.0208  test_acc=24.35  best=24.35  (45s)
  epoch 2/30  loss=1.8148  (no eval)  (8s)
  epoch 3/30  loss=0.9514  test_acc=98.85  best=98.85  (8s)
  epoch 4/30  loss=0.8904  (no eval)  (8s)
  epoch 5/30  loss=0.8592  (no eval)  (8s)
  epoch 6/30  loss=0.8433  test_acc=98.83  best=98.85  (8s)
  epoch 7/30  loss=0.8223  (no eval)  (8s)
  epoch 8/30  loss=0.8125  (no eval)  (8s)
  epoch 9/30  loss=0.8062  test_acc=99.41  best=99.41  (8s)
  epoch 10/30  loss=0.8018  (no eval)  (9s)
  epoch 11/30  loss=0.7966  (no eval)  (9s)
  epoch 12/30  loss=0.7924  test_acc=99.61  best=99.61  (8s)
  epoch 13/30  loss=0.7896  (no eval)  (9s)
  epoch 14/30  loss=0.7876  (no eval)  (9s)
  epoch 15/30  loss=0.7860  test_acc=99.63  best=99.63  (9s)
  epoch 16/30  loss=0.7853  (no eval)  (9s)
  epoch 17/30  loss=0.7846  (no eval)  (9s)
  epoch 18/30  loss=0.7842  test_acc=99.61  best=99.63  (8s)
  epoch 19/30  loss=0.7835  (no eval)  (9s)
  epoch 20/30  loss=0.7834  (no eval)  (9s)
  epoch 21/30  loss=0.7831  test_acc=99.61  best=99.63  (9s)
  epoch 22/30  loss=0.7837  (no eval)  (9s)
  epoch 23/30  loss=0.7831  (no eval)  (9s)
  epoch 24/30  loss=0.7829  test_acc=99.61  best=99.63  (9s)
  epoch 25/30  loss=0.7828  (no eval)  (9s)
  epoch 26/30  loss=0.7828  (no eval)  (9s)
  epoch 27/30  loss=0.7827  test_acc=99.59  best=99.63  (9s)
  epoch 28/30  loss=0.7826  test_acc=99.59  best=99.63  (9s)
  epoch 29/30  loss=0.7826  test_acc=99.59  best=99.63  (9s)
  epoch 30/30  loss=0.7826  test_acc=99.59  best=99.63  (9s)
[DONE] full_ft/flowers102  best_acc=99.63  trainable%=100.000  mem=9593MB  time=454s
