[RUN] method=full_ft dataset=pets classes=37 trainable=85,827,109 (100.000%) lr=0.0001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.0145  test_acc=82.94  best=82.94  (89s)
  epoch 2/20  loss=1.0269  test_acc=89.29  best=89.29  (32s)
  epoch 3/20  loss=0.8603  (no eval)  (32s)
  epoch 4/20  loss=0.8032  test_acc=90.38  best=90.38  (32s)
  epoch 5/20  loss=0.7728  (no eval)  (32s)
  epoch 6/20  loss=0.7530  test_acc=91.17  best=91.17  (32s)
  epoch 7/20  loss=0.7234  (no eval)  (32s)
  epoch 8/20  loss=0.7181  test_acc=91.96  best=91.96  (32s)
  epoch 9/20  loss=0.7055  (no eval)  (32s)
  epoch 10/20  loss=0.7020  test_acc=92.26  best=92.26  (32s)
  epoch 11/20  loss=0.6959  (no eval)  (32s)
  epoch 12/20  loss=0.6872  test_acc=93.10  best=93.10  (32s)
  epoch 13/20  loss=0.6822  (no eval)  (32s)
  epoch 14/20  loss=0.6783  test_acc=93.98  best=93.98  (32s)
  epoch 15/20  loss=0.6768  (no eval)  (32s)
  epoch 16/20  loss=0.6754  test_acc=94.09  best=94.09  (32s)
  epoch 17/20  loss=0.6735  (no eval)  (32s)
  epoch 18/20  loss=0.6744  test_acc=93.98  best=94.09  (32s)
  epoch 19/20  loss=0.6731  test_acc=94.06  best=94.09  (32s)
  epoch 20/20  loss=0.6739  test_acc=94.09  best=94.09  (32s)
[DONE] full_ft/pets  best_acc=94.09  trainable%=100.000  mem=9593MB  time=906s
