[RUN] method=linear_probe dataset=dtd classes=47 trainable=36,143 (0.042%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.1412  test_acc=37.55  best=37.55  (43s)
  epoch 2/20  loss=1.9421  test_acc=72.39  best=72.39  (5s)
  epoch 3/20  loss=1.3306  (no eval)  (5s)
  epoch 4/20  loss=1.1023  test_acc=76.86  best=76.86  (5s)
  epoch 5/20  loss=0.9982  (no eval)  (5s)
  epoch 6/20  loss=0.9422  test_acc=76.01  best=76.86  (5s)
  epoch 7/20  loss=0.9074  (no eval)  (5s)
  epoch 8/20  loss=0.8870  test_acc=77.13  best=77.13  (5s)
  epoch 9/20  loss=0.8655  (no eval)  (6s)
  epoch 10/20  loss=0.8517  test_acc=77.34  best=77.34  (5s)
  epoch 11/20  loss=0.8375  (no eval)  (5s)
  epoch 12/20  loss=0.8314  test_acc=77.50  best=77.50  (6s)
  epoch 13/20  loss=0.8221  (no eval)  (5s)
  epoch 14/20  loss=0.8157  test_acc=78.03  best=78.03  (6s)
  epoch 15/20  loss=0.8119  (no eval)  (5s)
  epoch 16/20  loss=0.8102  test_acc=77.82  best=78.03  (6s)
  epoch 17/20  loss=0.8067  (no eval)  (6s)
  epoch 18/20  loss=0.8032  test_acc=78.09  best=78.09  (6s)
  epoch 19/20  loss=0.8015  test_acc=77.82  best=78.09  (6s)
  epoch 20/20  loss=0.8022  test_acc=77.93  best=78.09  (6s)
[DONE] linear_probe/dtd  best_acc=78.09  trainable%=0.042  mem=1752MB  time=226s
