[RUN] method=linear_probe dataset=pets classes=37 trainable=28,453 (0.033%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9277  test_acc=59.31  best=59.31  (42s)
  epoch 2/20  loss=1.2416  test_acc=89.26  best=89.26  (5s)
  epoch 3/20  loss=0.9688  (no eval)  (5s)
  epoch 4/20  loss=0.8605  test_acc=90.84  best=90.84  (5s)
  epoch 5/20  loss=0.8142  (no eval)  (5s)
  epoch 6/20  loss=0.7955  test_acc=91.39  best=91.39  (5s)
  epoch 7/20  loss=0.7777  (no eval)  (5s)
  epoch 8/20  loss=0.7670  test_acc=92.45  best=92.45  (5s)
  epoch 9/20  loss=0.7542  (no eval)  (5s)
  epoch 10/20  loss=0.7498  test_acc=92.04  best=92.45  (5s)
  epoch 11/20  loss=0.7420  (no eval)  (5s)
  epoch 12/20  loss=0.7364  test_acc=92.37  best=92.45  (5s)
  epoch 13/20  loss=0.7335  (no eval)  (5s)
  epoch 14/20  loss=0.7332  test_acc=92.53  best=92.53  (5s)
  epoch 15/20  loss=0.7286  (no eval)  (5s)
  epoch 16/20  loss=0.7259  test_acc=92.61  best=92.61  (5s)
  epoch 17/20  loss=0.7241  (no eval)  (5s)
  epoch 18/20  loss=0.7241  test_acc=92.59  best=92.61  (5s)
  epoch 19/20  loss=0.7250  test_acc=92.59  best=92.61  (5s)
  epoch 20/20  loss=0.7253  test_acc=92.59  best=92.61  (5s)
[DONE] linear_probe/pets  best_acc=92.61  trainable%=0.033  mem=1752MB  time=249s
