[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.0755  test_acc=42.50  best=42.50  (49s)
  epoch 2/20  loss=1.7447  test_acc=75.53  best=75.53  (13s)
  epoch 3/20  loss=1.2002  (no eval)  (13s)
  epoch 4/20  loss=1.0293  test_acc=81.06  best=81.06  (13s)
  epoch 5/20  loss=0.9384  (no eval)  (13s)
  epoch 6/20  loss=0.8766  test_acc=81.06  best=81.06  (14s)
  epoch 7/20  loss=0.8472  (no eval)  (14s)
  epoch 8/20  loss=0.8108  test_acc=81.01  best=81.06  (14s)
  epoch 9/20  loss=0.7919  (no eval)  (14s)
  epoch 10/20  loss=0.7767  test_acc=81.81  best=81.81  (14s)
  epoch 11/20  loss=0.7678  (no eval)  (14s)
  epoch 12/20  loss=0.7604  test_acc=81.65  best=81.81  (14s)
  epoch 13/20  loss=0.7554  (no eval)  (15s)
  epoch 14/20  loss=0.7535  test_acc=82.23  best=82.23  (15s)
  epoch 15/20  loss=0.7508  (no eval)  (14s)
  epoch 16/20  loss=0.7473  test_acc=82.39  best=82.39  (14s)
  epoch 17/20  loss=0.7457  (no eval)  (14s)
  epoch 18/20  loss=0.7453  test_acc=82.34  best=82.39  (14s)
  epoch 19/20  loss=0.7457  test_acc=82.34  best=82.39  (14s)
  epoch 20/20  loss=0.7449  test_acc=82.39  best=82.39  (15s)
[DONE] lora/dtd  best_acc=82.39  trainable%=0.384  mem=7127MB  time=400s
