[RUN] method=lora dataset=pets classes=37 trainable=323,365 (0.375%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.8099  test_acc=70.59  best=70.59  (57s)
  epoch 2/20  loss=1.0743  test_acc=92.31  best=92.31  (12s)
  epoch 3/20  loss=0.8618  (no eval)  (12s)
  epoch 4/20  loss=0.8037  test_acc=93.87  best=93.87  (12s)
  epoch 5/20  loss=0.7689  (no eval)  (12s)
  epoch 6/20  loss=0.7524  test_acc=94.25  best=94.25  (12s)
  epoch 7/20  loss=0.7349  (no eval)  (16s)
  epoch 8/20  loss=0.7260  test_acc=94.82  best=94.82  (12s)
  epoch 9/20  loss=0.7190  (no eval)  (13s)
  epoch 10/20  loss=0.7141  test_acc=94.79  best=94.82  (13s)
  epoch 11/20  loss=0.7092  (no eval)  (13s)
  epoch 12/20  loss=0.7082  test_acc=94.52  best=94.82  (13s)
  epoch 13/20  loss=0.7064  (no eval)  (13s)
  epoch 14/20  loss=0.7027  test_acc=94.79  best=94.82  (13s)
  epoch 15/20  loss=0.7011  (no eval)  (13s)
  epoch 16/20  loss=0.7004  test_acc=94.82  best=94.82  (13s)
  epoch 17/20  loss=0.6986  (no eval)  (13s)
  epoch 18/20  loss=0.6975  test_acc=94.96  best=94.96  (13s)
  epoch 19/20  loss=0.6976  test_acc=94.85  best=94.96  (13s)
  epoch 20/20  loss=0.6987  test_acc=94.88  best=94.96  (13s)
[DONE] lora/pets  best_acc=94.96  trainable%=0.375  mem=7127MB  time=424s
