[RUN] method=lora_ssf dataset=dtd classes=47 trainable=404,783 (0.470%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9490  test_acc=46.60  best=46.60  (52s)
  epoch 2/20  loss=1.7467  test_acc=74.52  best=74.52  (15s)
  epoch 3/20  loss=1.2471  (no eval)  (15s)
  epoch 4/20  loss=1.0673  test_acc=79.41  best=79.41  (16s)
  epoch 5/20  loss=0.9599  (no eval)  (16s)
  epoch 6/20  loss=0.8983  test_acc=80.37  best=80.37  (16s)
  epoch 7/20  loss=0.8553  (no eval)  (17s)
  epoch 8/20  loss=0.8261  test_acc=80.00  best=80.37  (17s)
  epoch 9/20  loss=0.8073  (no eval)  (17s)
  epoch 10/20  loss=0.7875  test_acc=81.60  best=81.60  (17s)
  epoch 11/20  loss=0.7700  (no eval)  (17s)
  epoch 12/20  loss=0.7622  test_acc=82.18  best=82.18  (17s)
  epoch 13/20  loss=0.7545  (no eval)  (17s)
  epoch 14/20  loss=0.7524  test_acc=81.91  best=82.18  (17s)
  epoch 15/20  loss=0.7468  (no eval)  (17s)
  epoch 16/20  loss=0.7464  test_acc=82.50  best=82.50  (17s)
  epoch 17/20  loss=0.7430  (no eval)  (17s)
  epoch 18/20  loss=0.7437  test_acc=82.18  best=82.50  (17s)
  epoch 19/20  loss=0.7428  test_acc=82.34  best=82.50  (17s)
  epoch 20/20  loss=0.7424  test_acc=82.29  best=82.50  (17s)
[DONE] lora_ssf/dtd  best_acc=82.50  trainable%=0.470  mem=9798MB  time=464s
