[RUN] method=lora_ssf dataset=pets classes=37 trainable=397,093 (0.461%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.6748  test_acc=74.60  best=74.60  (97s)
  epoch 2/20  loss=1.0832  test_acc=91.50  best=91.50  (32s)
  epoch 3/20  loss=0.8688  (no eval)  (58s)
  epoch 4/20  loss=0.8129  test_acc=93.13  best=93.13  (57s)
  epoch 5/20  loss=0.7823  (no eval)  (58s)
  epoch 6/20  loss=0.7635  test_acc=94.28  best=94.28  (58s)
  epoch 7/20  loss=0.7460  (no eval)  (59s)
  epoch 8/20  loss=0.7299  test_acc=94.49  best=94.49  (58s)
  epoch 9/20  loss=0.7216  (no eval)  (58s)
  epoch 10/20  loss=0.7134  test_acc=94.30  best=94.49  (58s)
  epoch 11/20  loss=0.7098  (no eval)  (59s)
  epoch 12/20  loss=0.7077  test_acc=94.58  best=94.58  (58s)
  epoch 13/20  loss=0.7044  (no eval)  (58s)
  epoch 14/20  loss=0.7021  test_acc=94.69  best=94.69  (58s)
  epoch 15/20  loss=0.7014  (no eval)  (58s)
  epoch 16/20  loss=0.6994  test_acc=94.69  best=94.69  (58s)
  epoch 17/20  loss=0.6965  (no eval)  (58s)
  epoch 18/20  loss=0.6969  test_acc=94.88  best=94.88  (58s)
  epoch 19/20  loss=0.6960  test_acc=94.85  best=94.88  (58s)
  epoch 20/20  loss=0.6968  test_acc=94.88  best=94.88  (58s)
[DONE] lora_ssf/pets  best_acc=94.88  trainable%=0.461  mem=9800MB  time=1493s
