[RUN] method=ssf dataset=dtd classes=47 trainable=109,871 (0.128%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5540  test_acc=63.19  best=63.19  (50s)
  epoch 2/20  loss=1.4927  test_acc=77.23  best=77.23  (13s)
  epoch 3/20  loss=1.1808  (no eval)  (13s)
  epoch 4/20  loss=1.0375  test_acc=80.00  best=80.00  (13s)
  epoch 5/20  loss=0.9559  (no eval)  (13s)
  epoch 6/20  loss=0.9010  test_acc=79.79  best=80.00  (14s)
  epoch 7/20  loss=0.8671  (no eval)  (14s)
  epoch 8/20  loss=0.8355  test_acc=79.36  best=80.00  (14s)
  epoch 9/20  loss=0.8228  (no eval)  (14s)
  epoch 10/20  loss=0.8071  test_acc=80.74  best=80.74  (14s)
  epoch 11/20  loss=0.7885  (no eval)  (14s)
  epoch 12/20  loss=0.7790  test_acc=80.64  best=80.74  (14s)
  epoch 13/20  loss=0.7714  (no eval)  (15s)
  epoch 14/20  loss=0.7670  test_acc=81.28  best=81.28  (14s)
  epoch 15/20  loss=0.7655  (no eval)  (14s)
  epoch 16/20  loss=0.7631  test_acc=80.80  best=81.28  (14s)
  epoch 17/20  loss=0.7601  (no eval)  (15s)
  epoch 18/20  loss=0.7598  test_acc=81.12  best=81.28  (14s)
  epoch 19/20  loss=0.7601  test_acc=81.01  best=81.28  (14s)
  epoch 20/20  loss=0.7584  test_acc=80.90  best=81.28  (14s)
[DONE] ssf/dtd  best_acc=81.28  trainable%=0.128  mem=8899MB  time=403s
