[RUN] method=ssf dataset=flowers102 classes=102 trainable=152,166 (0.177%) lr=0.002 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.9779  test_acc=53.83  best=53.83  (44s)
  epoch 2/30  loss=1.4046  (no eval)  (7s)
  epoch 3/30  loss=0.9429  test_acc=99.25  best=99.25  (7s)
  epoch 4/30  loss=0.8628  (no eval)  (7s)
  epoch 5/30  loss=0.8315  (no eval)  (7s)
  epoch 6/30  loss=0.8155  test_acc=99.64  best=99.64  (7s)
  epoch 7/30  loss=0.8065  (no eval)  (8s)
  epoch 8/30  loss=0.8009  (no eval)  (7s)
  epoch 9/30  loss=0.7986  test_acc=99.59  best=99.64  (8s)
  epoch 10/30  loss=0.7953  (no eval)  (8s)
  epoch 11/30  loss=0.7950  (no eval)  (7s)
  epoch 12/30  loss=0.7940  test_acc=99.64  best=99.64  (8s)
  epoch 13/30  loss=0.7920  (no eval)  (8s)
  epoch 14/30  loss=0.7910  (no eval)  (8s)
  epoch 15/30  loss=0.7908  test_acc=99.64  best=99.64  (8s)
  epoch 16/30  loss=0.7906  (no eval)  (8s)
  epoch 17/30  loss=0.7894  (no eval)  (8s)
  epoch 18/30  loss=0.7892  test_acc=99.64  best=99.64  (8s)
  epoch 19/30  loss=0.7889  (no eval)  (8s)
  epoch 20/30  loss=0.7885  (no eval)  (8s)
  epoch 21/30  loss=0.7885  test_acc=99.64  best=99.64  (8s)
  epoch 22/30  loss=0.7881  (no eval)  (8s)
  epoch 23/30  loss=0.7881  (no eval)  (8s)
  epoch 24/30  loss=0.7877  test_acc=99.64  best=99.64  (8s)
  epoch 25/30  loss=0.7874  (no eval)  (8s)
  epoch 26/30  loss=0.7876  (no eval)  (8s)
  epoch 27/30  loss=0.7875  test_acc=99.64  best=99.64  (8s)
  epoch 28/30  loss=0.7872  test_acc=99.64  best=99.64  (8s)
  epoch 29/30  loss=0.7873  test_acc=99.64  best=99.64  (8s)
  epoch 30/30  loss=0.7872  test_acc=99.64  best=99.64  (8s)
[DONE] ssf/flowers102  best_acc=99.64  trainable%=0.177  mem=8899MB  time=446s
