[RUN] method=ssf dataset=pets classes=37 trainable=102,181 (0.119%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.1508  test_acc=86.81  best=86.81  (49s)
  epoch 2/20  loss=0.9712  test_acc=92.61  best=92.61  (13s)
  epoch 3/20  loss=0.8544  (no eval)  (12s)
  epoch 4/20  loss=0.8019  test_acc=93.24  best=93.24  (12s)
  epoch 5/20  loss=0.7798  (no eval)  (12s)
  epoch 6/20  loss=0.7668  test_acc=94.09  best=94.09  (12s)
  epoch 7/20  loss=0.7470  (no eval)  (12s)
  epoch 8/20  loss=0.7355  test_acc=94.47  best=94.47  (12s)
  epoch 9/20  loss=0.7270  (no eval)  (12s)
  epoch 10/20  loss=0.7240  test_acc=94.52  best=94.52  (12s)
  epoch 11/20  loss=0.7220  (no eval)  (12s)
  epoch 12/20  loss=0.7149  test_acc=94.60  best=94.60  (12s)
  epoch 13/20  loss=0.7109  (no eval)  (12s)
  epoch 14/20  loss=0.7086  test_acc=94.39  best=94.60  (12s)
  epoch 15/20  loss=0.7085  (no eval)  (12s)
  epoch 16/20  loss=0.7065  test_acc=94.25  best=94.60  (13s)
  epoch 17/20  loss=0.7052  (no eval)  (12s)
  epoch 18/20  loss=0.7060  test_acc=94.49  best=94.60  (13s)
  epoch 19/20  loss=0.7042  test_acc=94.49  best=94.60  (13s)
  epoch 20/20  loss=0.7033  test_acc=94.41  best=94.60  (13s)
[DONE] ssf/pets  best_acc=94.60  trainable%=0.119  mem=8900MB  time=8526s
