[RUN] method=vpt dataset=flowers102 classes=102 trainable=93,798 (0.109%) lr=0.005 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.2746  test_acc=86.70  best=86.70  (44s)
  epoch 2/30  loss=1.1335  (no eval)  (6s)
  epoch 3/30  loss=0.9595  test_acc=98.29  best=98.29  (7s)
  epoch 4/30  loss=0.9213  (no eval)  (7s)
  epoch 5/30  loss=0.8851  (no eval)  (6s)
  epoch 6/30  loss=0.8672  test_acc=99.43  best=99.43  (7s)
  epoch 7/30  loss=0.8455  (no eval)  (7s)
  epoch 8/30  loss=0.8350  (no eval)  (7s)
  epoch 9/30  loss=0.8325  test_acc=99.51  best=99.51  (7s)
  epoch 10/30  loss=0.8204  (no eval)  (7s)
  epoch 11/30  loss=0.8114  (no eval)  (7s)
  epoch 12/30  loss=0.8091  test_acc=99.51  best=99.51  (7s)
  epoch 13/30  loss=0.8058  (no eval)  (7s)
  epoch 14/30  loss=0.8041  (no eval)  (7s)
  epoch 15/30  loss=0.8000  test_acc=99.54  best=99.54  (7s)
  epoch 16/30  loss=0.7966  (no eval)  (7s)
  epoch 17/30  loss=0.7953  (no eval)  (7s)
  epoch 18/30  loss=0.7938  test_acc=99.58  best=99.58  (7s)
  epoch 19/30  loss=0.7939  (no eval)  (7s)
  epoch 20/30  loss=0.7917  (no eval)  (7s)
  epoch 21/30  loss=0.7909  test_acc=99.58  best=99.58  (7s)
  epoch 22/30  loss=0.7907  (no eval)  (7s)
  epoch 23/30  loss=0.7901  (no eval)  (7s)
  epoch 24/30  loss=0.7891  test_acc=99.59  best=99.59  (7s)
  epoch 25/30  loss=0.7896  (no eval)  (7s)
  epoch 26/30  loss=0.7890  (no eval)  (7s)
  epoch 27/30  loss=0.7885  test_acc=99.58  best=99.59  (7s)
  epoch 28/30  loss=0.7885  test_acc=99.59  best=99.59  (7s)
  epoch 29/30  loss=0.7885  test_acc=99.59  best=99.59  (7s)
  epoch 30/30  loss=0.7885  test_acc=99.59  best=99.59  (7s)
[DONE] vpt/flowers102  best_acc=99.59  trainable%=0.109  mem=6875MB  time=413s
