[RUN] method=adaptformer dataset=dtd classes=47 trainable=3,220,039 (1.051%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5920  test_acc=65.11  best=65.11  (94s)
  epoch 2/20  loss=1.4635  test_acc=78.56  best=78.56  (50s)
  epoch 3/20  loss=1.1277  (no eval)  (54s)
  epoch 4/20  loss=0.9750  test_acc=79.84  best=79.84  (55s)
  epoch 5/20  loss=0.8792  (no eval)  (55s)
  epoch 6/20  loss=0.8283  test_acc=82.93  best=82.93  (55s)
  epoch 7/20  loss=0.7958  (no eval)  (55s)
  epoch 8/20  loss=0.7628  test_acc=83.51  best=83.51  (56s)
  epoch 9/20  loss=0.7406  (no eval)  (55s)
  epoch 10/20  loss=0.7323  test_acc=83.78  best=83.78  (55s)
  epoch 11/20  loss=0.7241  (no eval)  (55s)
  epoch 12/20  loss=0.7204  test_acc=84.47  best=84.47  (56s)
  epoch 13/20  loss=0.7148  (no eval)  (55s)
  epoch 14/20  loss=0.7124  test_acc=84.47  best=84.47  (56s)
  epoch 15/20  loss=0.7104  (no eval)  (56s)
  epoch 16/20  loss=0.7089  test_acc=84.63  best=84.63  (56s)
  epoch 17/20  loss=0.7084  (no eval)  (55s)
  epoch 18/20  loss=0.7081  test_acc=84.57  best=84.63  (55s)
  epoch 19/20  loss=0.7074  test_acc=84.52  best=84.63  (55s)
  epoch 20/20  loss=0.7076  test_acc=84.57  best=84.63  (55s)
[DONE] adaptformer/dtd  best_acc=84.63  trainable%=1.051  mem=2994MB  time=1304s
