[RUN] method=adaptformer dataset=flowers102 classes=102 trainable=3,276,414 (1.069%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.9055  test_acc=57.88  best=57.88  (70s)
  epoch 2/30  loss=1.2120  (no eval)  (27s)
  epoch 3/30  loss=0.8839  test_acc=99.51  best=99.51  (28s)
  epoch 4/30  loss=0.8369  (no eval)  (29s)
  epoch 5/30  loss=0.8198  (no eval)  (29s)
  epoch 6/30  loss=0.8045  test_acc=99.66  best=99.66  (30s)
  epoch 7/30  loss=0.8003  (no eval)  (29s)
  epoch 8/30  loss=0.7949  (no eval)  (30s)
  epoch 9/30  loss=0.7916  test_acc=99.59  best=99.66  (30s)
  epoch 10/30  loss=0.7898  (no eval)  (30s)
  epoch 11/30  loss=0.7888  (no eval)  (30s)
  epoch 12/30  loss=0.7875  test_acc=99.59  best=99.66  (30s)
  epoch 13/30  loss=0.7859  (no eval)  (30s)
  epoch 14/30  loss=0.7857  (no eval)  (30s)
  epoch 15/30  loss=0.7853  test_acc=99.66  best=99.66  (30s)
  epoch 16/30  loss=0.7854  (no eval)  (30s)
  epoch 17/30  loss=0.7844  (no eval)  (30s)
  epoch 18/30  loss=0.7839  test_acc=99.63  best=99.66  (30s)
  epoch 19/30  loss=0.7835  (no eval)  (30s)
  epoch 20/30  loss=0.7834  (no eval)  (30s)
  epoch 21/30  loss=0.7832  test_acc=99.66  best=99.66  (30s)
  epoch 22/30  loss=0.7832  (no eval)  (30s)
  epoch 23/30  loss=0.7827  (no eval)  (30s)
  epoch 24/30  loss=0.7826  test_acc=99.64  best=99.66  (30s)
  epoch 25/30  loss=0.7826  (no eval)  (30s)
  epoch 26/30  loss=0.7825  (no eval)  (30s)
  epoch 27/30  loss=0.7824  test_acc=99.64  best=99.66  (30s)
  epoch 28/30  loss=0.7824  test_acc=99.64  best=99.66  (30s)
  epoch 29/30  loss=0.7823  test_acc=99.64  best=99.66  (29s)
  epoch 30/30  loss=0.7824  test_acc=99.64  best=99.66  (30s)
[DONE] adaptformer/flowers102  best_acc=99.66  trainable%=1.069  mem=2995MB  time=1347s
