[RUN] method=adaptformer dataset=pets classes=37 trainable=3,209,789 (1.047%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=2.6911  test_acc=90.49  best=90.49  (92s)
  epoch 2/20  loss=0.9005  test_acc=93.95  best=93.95  (50s)
  epoch 3/20  loss=0.8141  (no eval)  (54s)
  epoch 4/20  loss=0.7769  test_acc=93.98  best=93.98  (54s)
  epoch 5/20  loss=0.7391  (no eval)  (54s)
  epoch 6/20  loss=0.7280  test_acc=94.41  best=94.41  (54s)
  epoch 7/20  loss=0.7150  (no eval)  (54s)
  epoch 8/20  loss=0.6998  test_acc=94.93  best=94.93  (54s)
  epoch 9/20  loss=0.6893  (no eval)  (54s)
  epoch 10/20  loss=0.6896  test_acc=95.26  best=95.26  (55s)
  epoch 11/20  loss=0.6914  (no eval)  (54s)
  epoch 12/20  loss=0.6869  test_acc=95.26  best=95.26  (54s)
  epoch 13/20  loss=0.6792  (no eval)  (54s)
  epoch 14/20  loss=0.6775  test_acc=95.15  best=95.26  (54s)
  epoch 15/20  loss=0.6760  (no eval)  (54s)
  epoch 16/20  loss=0.6760  test_acc=95.18  best=95.26  (55s)
  epoch 17/20  loss=0.6758  (no eval)  (54s)
  epoch 18/20  loss=0.6745  test_acc=95.04  best=95.26  (55s)
  epoch 19/20  loss=0.6758  test_acc=95.09  best=95.26  (55s)
  epoch 20/20  loss=0.6741  test_acc=95.09  best=95.26  (54s)
[DONE] adaptformer/pets  best_acc=95.26  trainable%=1.047  mem=2994MB  time=1379s
