[RUN] method=bitfit dataset=dtd classes=47 trainable=320,559 (0.106%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.8700  test_acc=56.91  best=56.91  (88s)
  epoch 2/20  loss=1.5785  test_acc=76.49  best=76.49  (44s)
  epoch 3/20  loss=1.1846  (no eval)  (48s)
  epoch 4/20  loss=1.0222  test_acc=80.96  best=80.96  (49s)
  epoch 5/20  loss=0.9432  (no eval)  (49s)
  epoch 6/20  loss=0.8880  test_acc=81.01  best=81.01  (49s)
  epoch 7/20  loss=0.8604  (no eval)  (49s)
  epoch 8/20  loss=0.8325  test_acc=81.22  best=81.22  (50s)
  epoch 9/20  loss=0.8169  (no eval)  (49s)
  epoch 10/20  loss=0.8016  test_acc=80.21  best=81.22  (49s)
  epoch 11/20  loss=0.7831  (no eval)  (49s)
  epoch 12/20  loss=0.7758  test_acc=81.70  best=81.70  (50s)
  epoch 13/20  loss=0.7680  (no eval)  (49s)
  epoch 14/20  loss=0.7649  test_acc=81.70  best=81.70  (49s)
  epoch 15/20  loss=0.7609  (no eval)  (49s)
  epoch 16/20  loss=0.7574  test_acc=81.60  best=81.70  (49s)
  epoch 17/20  loss=0.7560  (no eval)  (49s)
  epoch 18/20  loss=0.7544  test_acc=81.65  best=81.70  (49s)
  epoch 19/20  loss=0.7535  test_acc=81.60  best=81.70  (49s)
  epoch 20/20  loss=0.7549  test_acc=81.60  best=81.70  (49s)
[DONE] bitfit/dtd  best_acc=81.70  trainable%=0.106  mem=2943MB  time=1169s
