[RUN] method=bitfit dataset=flowers102 classes=102 trainable=376,934 (0.124%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.0279  test_acc=39.26  best=39.26  (117s)
  epoch 2/30  loss=1.4536  (no eval)  (52s)
  epoch 3/30  loss=0.9133  test_acc=99.28  best=99.28  (51s)
  epoch 4/30  loss=0.8499  (no eval)  (52s)
  epoch 5/30  loss=0.8213  (no eval)  (51s)
  epoch 6/30  loss=0.8069  test_acc=99.58  best=99.58  (52s)
  epoch 7/30  loss=0.8006  (no eval)  (52s)
  epoch 8/30  loss=0.7973  (no eval)  (52s)
  epoch 9/30  loss=0.7958  test_acc=99.59  best=99.59  (51s)
  epoch 10/30  loss=0.7925  (no eval)  (52s)
  epoch 11/30  loss=0.7916  (no eval)  (52s)
  epoch 12/30  loss=0.7913  test_acc=99.51  best=99.59  (51s)
  epoch 13/30  loss=0.7901  (no eval)  (52s)
  epoch 14/30  loss=0.7891  (no eval)  (52s)
  epoch 15/30  loss=0.7883  test_acc=99.56  best=99.59  (52s)
  epoch 16/30  loss=0.7877  (no eval)  (52s)
  epoch 17/30  loss=0.7874  (no eval)  (52s)
  epoch 18/30  loss=0.7877  test_acc=99.53  best=99.59  (52s)
  epoch 19/30  loss=0.7871  (no eval)  (52s)
  epoch 20/30  loss=0.7863  (no eval)  (52s)
  epoch 21/30  loss=0.7859  test_acc=99.56  best=99.59  (51s)
  epoch 22/30  loss=0.7858  (no eval)  (52s)
  epoch 23/30  loss=0.7860  (no eval)  (52s)
  epoch 24/30  loss=0.7856  test_acc=99.58  best=99.59  (52s)
  epoch 25/30  loss=0.7854  (no eval)  (52s)
  epoch 26/30  loss=0.7853  (no eval)  (51s)
  epoch 27/30  loss=0.7853  test_acc=99.58  best=99.59  (52s)
  epoch 28/30  loss=0.7853  test_acc=99.58  best=99.59  (52s)
  epoch 29/30  loss=0.7851  test_acc=99.58  best=99.59  (52s)
  epoch 30/30  loss=0.7856  test_acc=99.58  best=99.59  (52s)
[DONE] bitfit/flowers102  best_acc=99.59  trainable%=0.124  mem=2944MB  time=2361s
