[RUN] method=full_ft dataset=flowers102 classes=102 trainable=303,406,182 (100.000%) lr=0.0001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=3.7693  test_acc=96.10  best=96.10  (76s)
  epoch 2/30  loss=1.0080  (no eval)  (34s)
  epoch 3/30  loss=0.9402  test_acc=96.98  best=96.98  (36s)
  epoch 4/30  loss=0.9255  (no eval)  (37s)
  epoch 5/30  loss=0.9008  (no eval)  (37s)
  epoch 6/30  loss=0.8721  test_acc=97.11  best=97.11  (38s)
  epoch 7/30  loss=0.8572  (no eval)  (37s)
  epoch 8/30  loss=0.8327  (no eval)  (37s)
  epoch 9/30  loss=0.8271  test_acc=96.81  best=97.11  (37s)
  epoch 10/30  loss=0.8009  (no eval)  (37s)
  epoch 11/30  loss=0.8018  (no eval)  (38s)
  epoch 12/30  loss=0.7907  test_acc=97.77  best=97.77  (38s)
  epoch 13/30  loss=0.7935  (no eval)  (37s)
  epoch 14/30  loss=0.7931  (no eval)  (38s)
  epoch 15/30  loss=0.7834  test_acc=98.06  best=98.06  (38s)
  epoch 16/30  loss=0.7821  (no eval)  (38s)
  epoch 17/30  loss=0.7816  (no eval)  (38s)
  epoch 18/30  loss=0.7813  test_acc=98.19  best=98.19  (38s)
  epoch 19/30  loss=0.7811  (no eval)  (38s)
  epoch 20/30  loss=0.7810  (no eval)  (38s)
  epoch 21/30  loss=0.7809  test_acc=98.24  best=98.24  (38s)
  epoch 22/30  loss=0.7808  (no eval)  (37s)
  epoch 23/30  loss=0.7807  (no eval)  (38s)
  epoch 24/30  loss=0.7806  test_acc=98.26  best=98.26  (38s)
  epoch 25/30  loss=0.7806  (no eval)  (38s)
  epoch 26/30  loss=0.7806  (no eval)  (37s)
  epoch 27/30  loss=0.7806  test_acc=98.26  best=98.26  (38s)
  epoch 28/30  loss=0.7806  test_acc=98.26  best=98.26  (37s)
  epoch 29/30  loss=0.7805  test_acc=98.26  best=98.26  (37s)
  epoch 30/30  loss=0.7831  test_acc=98.26  best=98.26  (38s)
[DONE] full_ft/flowers102  best_acc=98.26  trainable%=100.000  mem=6967MB  time=1550s
