[RUN] method=linear_probe dataset=dtd classes=47 trainable=48,175 (0.016%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9703  test_acc=53.24  best=53.24  (57s)
  epoch 2/20  loss=1.6708  test_acc=74.31  best=74.31  (14s)
  epoch 3/20  loss=1.2212  (no eval)  (15s)
  epoch 4/20  loss=1.0366  test_acc=76.44  best=76.44  (15s)
  epoch 5/20  loss=0.9572  (no eval)  (15s)
  epoch 6/20  loss=0.9156  test_acc=77.29  best=77.29  (15s)
  epoch 7/20  loss=0.8873  (no eval)  (16s)
  epoch 8/20  loss=0.8685  test_acc=77.39  best=77.39  (16s)
  epoch 9/20  loss=0.8547  (no eval)  (16s)
  epoch 10/20  loss=0.8391  test_acc=77.55  best=77.55  (16s)
  epoch 11/20  loss=0.8260  (no eval)  (16s)
  epoch 12/20  loss=0.8146  test_acc=77.39  best=77.55  (16s)
  epoch 13/20  loss=0.8042  (no eval)  (16s)
  epoch 14/20  loss=0.7992  test_acc=78.19  best=78.19  (16s)
  epoch 15/20  loss=0.7943  (no eval)  (16s)
  epoch 16/20  loss=0.7868  test_acc=78.30  best=78.30  (16s)
  epoch 17/20  loss=0.7854  (no eval)  (16s)
  epoch 18/20  loss=0.7814  test_acc=78.09  best=78.30  (16s)
  epoch 19/20  loss=0.7819  test_acc=78.35  best=78.35  (16s)
  epoch 20/20  loss=0.7827  test_acc=78.35  best=78.35  (16s)
[DONE] linear_probe/dtd  best_acc=78.35  trainable%=0.016  mem=2939MB  time=505s
