[RUN] method=linear_probe dataset=pets classes=37 trainable=37,925 (0.013%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.0326  test_acc=82.77  best=82.77  (57s)
  epoch 2/20  loss=1.0418  test_acc=90.00  best=90.00  (14s)
  epoch 3/20  loss=0.8734  (no eval)  (15s)
  epoch 4/20  loss=0.8221  test_acc=91.22  best=91.22  (15s)
  epoch 5/20  loss=0.7923  (no eval)  (15s)
  epoch 6/20  loss=0.7731  test_acc=91.47  best=91.47  (15s)
  epoch 7/20  loss=0.7665  (no eval)  (16s)
  epoch 8/20  loss=0.7516  test_acc=91.55  best=91.55  (15s)
  epoch 9/20  loss=0.7455  (no eval)  (16s)
  epoch 10/20  loss=0.7365  test_acc=92.45  best=92.45  (16s)
  epoch 11/20  loss=0.7301  (no eval)  (16s)
  epoch 12/20  loss=0.7233  test_acc=92.50  best=92.50  (16s)
  epoch 13/20  loss=0.7182  (no eval)  (16s)
  epoch 14/20  loss=0.7164  test_acc=92.67  best=92.67  (16s)
  epoch 15/20  loss=0.7113  (no eval)  (16s)
  epoch 16/20  loss=0.7114  test_acc=92.83  best=92.83  (16s)
  epoch 17/20  loss=0.7089  (no eval)  (16s)
  epoch 18/20  loss=0.7083  test_acc=92.78  best=92.83  (16s)
  epoch 19/20  loss=0.7069  test_acc=92.72  best=92.83  (16s)
  epoch 20/20  loss=0.7071  test_acc=92.70  best=92.83  (16s)
[DONE] linear_probe/pets  best_acc=92.83  trainable%=0.013  mem=2939MB  time=590s
