[RUN] method=lora dataset=dtd classes=47 trainable=834,607 (0.274%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.8767  test_acc=59.26  best=59.26  (91s)
  epoch 2/20  loss=1.5176  test_acc=77.39  best=77.39  (52s)
  epoch 3/20  loss=1.1171  (no eval)  (56s)
  epoch 4/20  loss=0.9563  test_acc=80.32  best=80.32  (57s)
  epoch 5/20  loss=0.8669  (no eval)  (57s)
  epoch 6/20  loss=0.8255  test_acc=80.85  best=80.85  (58s)
  epoch 7/20  loss=0.7984  (no eval)  (57s)
  epoch 8/20  loss=0.7734  test_acc=82.66  best=82.66  (58s)
  epoch 9/20  loss=0.7559  (no eval)  (57s)
  epoch 10/20  loss=0.7440  test_acc=83.09  best=83.09  (58s)
  epoch 11/20  loss=0.7368  (no eval)  (58s)
  epoch 12/20  loss=0.7329  test_acc=82.87  best=83.09  (57s)
  epoch 13/20  loss=0.7296  (no eval)  (57s)
  epoch 14/20  loss=0.7259  test_acc=83.14  best=83.14  (57s)
  epoch 15/20  loss=0.7254  (no eval)  (57s)
  epoch 16/20  loss=0.7233  test_acc=83.30  best=83.30  (57s)
  epoch 17/20  loss=0.7223  (no eval)  (57s)
  epoch 18/20  loss=0.7218  test_acc=83.09  best=83.30  (58s)
  epoch 19/20  loss=0.7215  test_acc=83.09  best=83.30  (57s)
  epoch 20/20  loss=0.7209  test_acc=83.03  best=83.30  (57s)
[DONE] lora/dtd  best_acc=83.30  trainable%=0.274  mem=2965MB  time=1346s
