[RUN] method=lora dataset=flowers102 classes=102 trainable=890,982 (0.293%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=5.1112  test_acc=42.48  best=42.48  (67s)
  epoch 2/30  loss=1.3551  (no eval)  (28s)
  epoch 3/30  loss=0.8814  test_acc=99.50  best=99.50  (29s)
  epoch 4/30  loss=0.8392  (no eval)  (30s)
  epoch 5/30  loss=0.8163  (no eval)  (30s)
  epoch 6/30  loss=0.8028  test_acc=99.63  best=99.63  (30s)
  epoch 7/30  loss=0.7954  (no eval)  (30s)
  epoch 8/30  loss=0.7927  (no eval)  (31s)
  epoch 9/30  loss=0.7902  test_acc=99.59  best=99.63  (31s)
  epoch 10/30  loss=0.7888  (no eval)  (30s)
  epoch 11/30  loss=0.7890  (no eval)  (31s)
  epoch 12/30  loss=0.7879  test_acc=99.63  best=99.63  (30s)
  epoch 13/30  loss=0.7868  (no eval)  (31s)
  epoch 14/30  loss=0.7860  (no eval)  (30s)
  epoch 15/30  loss=0.7852  test_acc=99.58  best=99.63  (31s)
  epoch 16/30  loss=0.7847  (no eval)  (31s)
  epoch 17/30  loss=0.7842  (no eval)  (31s)
  epoch 18/30  loss=0.7841  test_acc=99.63  best=99.63  (31s)
  epoch 19/30  loss=0.7837  (no eval)  (31s)
  epoch 20/30  loss=0.7837  (no eval)  (31s)
  epoch 21/30  loss=0.7834  test_acc=99.59  best=99.63  (31s)
  epoch 22/30  loss=0.7832  (no eval)  (31s)
  epoch 23/30  loss=0.7831  (no eval)  (31s)
  epoch 24/30  loss=0.7829  test_acc=99.59  best=99.63  (31s)
  epoch 25/30  loss=0.7829  (no eval)  (31s)
  epoch 26/30  loss=0.7828  (no eval)  (31s)
  epoch 27/30  loss=0.7827  test_acc=99.59  best=99.63  (31s)
  epoch 28/30  loss=0.7826  test_acc=99.59  best=99.63  (31s)
  epoch 29/30  loss=0.7827  test_acc=99.59  best=99.63  (31s)
  epoch 30/30  loss=0.7827  test_acc=99.59  best=99.63  (31s)
[DONE] lora/flowers102  best_acc=99.63  trainable%=0.293  mem=2966MB  time=1402s
