[RUN] method=lora dataset=pets classes=37 trainable=824,357 (0.271%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=2.8812  test_acc=89.21  best=89.21  (94s)
  epoch 2/20  loss=0.9184  test_acc=92.70  best=92.70  (51s)
  epoch 3/20  loss=0.8050  (no eval)  (55s)
  epoch 4/20  loss=0.7599  test_acc=94.17  best=94.17  (56s)
  epoch 5/20  loss=0.7296  (no eval)  (56s)
  epoch 6/20  loss=0.7161  test_acc=94.19  best=94.19  (56s)
  epoch 7/20  loss=0.7098  (no eval)  (56s)
  epoch 8/20  loss=0.6958  test_acc=94.93  best=94.93  (56s)
  epoch 9/20  loss=0.6922  (no eval)  (56s)
  epoch 10/20  loss=0.6874  test_acc=95.18  best=95.18  (56s)
  epoch 11/20  loss=0.6866  (no eval)  (56s)
  epoch 12/20  loss=0.6842  test_acc=95.18  best=95.18  (56s)
  epoch 13/20  loss=0.6806  (no eval)  (56s)
  epoch 14/20  loss=0.6800  test_acc=95.15  best=95.18  (56s)
  epoch 15/20  loss=0.6791  (no eval)  (56s)
  epoch 16/20  loss=0.6806  test_acc=95.09  best=95.18  (56s)
  epoch 17/20  loss=0.6775  (no eval)  (56s)
  epoch 18/20  loss=0.6783  test_acc=95.34  best=95.34  (57s)
  epoch 19/20  loss=0.6771  test_acc=95.31  best=95.34  (56s)
  epoch 20/20  loss=0.6780  test_acc=95.31  best=95.34  (56s)
[DONE] lora/pets  best_acc=95.34  trainable%=0.271  mem=2965MB  time=1430s
