[RUN] method=lora_ssf dataset=dtd classes=47 trainable=1,031,215 (0.339%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.8261  test_acc=60.85  best=60.85  (107s)
  epoch 2/20  loss=1.4870  test_acc=77.82  best=77.82  (65s)
  epoch 3/20  loss=1.1377  (no eval)  (69s)
  epoch 4/20  loss=0.9582  test_acc=81.01  best=81.01  (70s)
  epoch 5/20  loss=0.8784  (no eval)  (70s)
  epoch 6/20  loss=0.8276  test_acc=81.33  best=81.33  (71s)
  epoch 7/20  loss=0.7997  (no eval)  (70s)
  epoch 8/20  loss=0.7761  test_acc=82.50  best=82.50  (70s)
  epoch 9/20  loss=0.7616  (no eval)  (70s)
  epoch 10/20  loss=0.7421  test_acc=83.62  best=83.62  (71s)
  epoch 11/20  loss=0.7366  (no eval)  (70s)
  epoch 12/20  loss=0.7321  test_acc=83.94  best=83.94  (71s)
  epoch 13/20  loss=0.7272  (no eval)  (70s)
  epoch 14/20  loss=0.7238  test_acc=83.67  best=83.94  (71s)
  epoch 15/20  loss=0.7220  (no eval)  (70s)
  epoch 16/20  loss=0.7207  test_acc=83.67  best=83.94  (70s)
  epoch 17/20  loss=0.7206  (no eval)  (71s)
  epoch 18/20  loss=0.7196  test_acc=83.51  best=83.94  (71s)
  epoch 19/20  loss=0.7193  test_acc=83.56  best=83.94  (70s)
  epoch 20/20  loss=0.7193  test_acc=83.67  best=83.94  (71s)
[DONE] lora_ssf/dtd  best_acc=83.94  trainable%=0.339  mem=3155MB  time=1625s
