[RUN] method=lora_ssf dataset=pets classes=37 trainable=1,020,965 (0.335%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=2.7809  test_acc=87.84  best=87.84  (107s)
  epoch 2/20  loss=0.9016  test_acc=93.40  best=93.40  (64s)
  epoch 3/20  loss=0.8221  (no eval)  (69s)
  epoch 4/20  loss=0.7687  test_acc=94.79  best=94.79  (69s)
  epoch 5/20  loss=0.7477  (no eval)  (69s)
  epoch 6/20  loss=0.7239  test_acc=94.28  best=94.79  (69s)
  epoch 7/20  loss=0.7082  (no eval)  (69s)
  epoch 8/20  loss=0.6971  test_acc=95.42  best=95.42  (69s)
  epoch 9/20  loss=0.6919  (no eval)  (69s)
  epoch 10/20  loss=0.6883  test_acc=95.12  best=95.42  (69s)
  epoch 11/20  loss=0.6887  (no eval)  (69s)
  epoch 12/20  loss=0.6842  test_acc=95.39  best=95.42  (70s)
  epoch 13/20  loss=0.6816  (no eval)  (69s)
  epoch 14/20  loss=0.6826  test_acc=95.12  best=95.42  (69s)
  epoch 15/20  loss=0.6804  (no eval)  (69s)
  epoch 16/20  loss=0.6802  test_acc=95.31  best=95.42  (69s)
  epoch 17/20  loss=0.6771  (no eval)  (69s)
  epoch 18/20  loss=0.6795  test_acc=95.34  best=95.42  (69s)
  epoch 19/20  loss=0.6776  test_acc=95.23  best=95.42  (69s)
  epoch 20/20  loss=0.6780  test_acc=95.26  best=95.42  (69s)
[DONE] lora_ssf/pets  best_acc=95.42  trainable%=0.335  mem=3155MB  time=1723s
