[RUN] method=ssf dataset=dtd classes=47 trainable=244,783 (0.081%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.3501  test_acc=70.11  best=70.11  (96s)
  epoch 2/20  loss=1.3905  test_acc=77.34  best=77.34  (55s)
  epoch 3/20  loss=1.1391  (no eval)  (59s)
  epoch 4/20  loss=1.0032  test_acc=79.41  best=79.41  (60s)
  epoch 5/20  loss=0.9322  (no eval)  (60s)
  epoch 6/20  loss=0.8729  test_acc=79.47  best=79.47  (61s)
  epoch 7/20  loss=0.8321  (no eval)  (60s)
  epoch 8/20  loss=0.7983  test_acc=81.22  best=81.22  (60s)
  epoch 9/20  loss=0.7829  (no eval)  (60s)
  epoch 10/20  loss=0.7713  test_acc=82.02  best=82.02  (60s)
  epoch 11/20  loss=0.7628  (no eval)  (60s)
  epoch 12/20  loss=0.7557  test_acc=82.55  best=82.55  (61s)
  epoch 13/20  loss=0.7506  (no eval)  (61s)
  epoch 14/20  loss=0.7462  test_acc=81.86  best=82.55  (61s)
  epoch 15/20  loss=0.7451  (no eval)  (61s)
  epoch 16/20  loss=0.7428  test_acc=82.34  best=82.55  (61s)
  epoch 17/20  loss=0.7407  (no eval)  (60s)
  epoch 18/20  loss=0.7395  test_acc=82.18  best=82.55  (61s)
  epoch 19/20  loss=0.7395  test_acc=82.29  best=82.55  (60s)
  epoch 20/20  loss=0.7395  test_acc=82.29  best=82.55  (60s)
[DONE] ssf/dtd  best_acc=82.55  trainable%=0.081  mem=3142MB  time=1407s
