[RUN] method=ssf dataset=flowers102 classes=102 trainable=301,158 (0.099%) lr=0.002 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.3624  test_acc=89.41  best=89.41  (127s)
  epoch 2/30  loss=1.0154  (no eval)  (62s)
  epoch 3/30  loss=0.8931  test_acc=99.41  best=99.41  (62s)
  epoch 4/30  loss=0.8684  (no eval)  (62s)
  epoch 5/30  loss=0.8388  (no eval)  (61s)
  epoch 6/30  loss=0.8117  test_acc=99.56  best=99.56  (62s)
  epoch 7/30  loss=0.8017  (no eval)  (62s)
  epoch 8/30  loss=0.7965  (no eval)  (62s)
  epoch 9/30  loss=0.7929  test_acc=99.51  best=99.56  (62s)
  epoch 10/30  loss=0.7915  (no eval)  (62s)
  epoch 11/30  loss=0.7897  (no eval)  (62s)
  epoch 12/30  loss=0.7890  test_acc=99.59  best=99.59  (62s)
  epoch 13/30  loss=0.7884  (no eval)  (62s)
  epoch 14/30  loss=0.7873  (no eval)  (62s)
  epoch 15/30  loss=0.7863  test_acc=99.58  best=99.59  (62s)
  epoch 16/30  loss=0.7858  (no eval)  (62s)
  epoch 17/30  loss=0.7855  (no eval)  (62s)
  epoch 18/30  loss=0.7852  test_acc=99.56  best=99.59  (62s)
  epoch 19/30  loss=0.7846  (no eval)  (62s)
  epoch 20/30  loss=0.7845  (no eval)  (61s)
  epoch 21/30  loss=0.7845  test_acc=99.58  best=99.59  (62s)
  epoch 22/30  loss=0.7841  (no eval)  (62s)
  epoch 23/30  loss=0.7839  (no eval)  (62s)
  epoch 24/30  loss=0.7841  test_acc=99.59  best=99.59  (62s)
  epoch 25/30  loss=0.7837  (no eval)  (62s)
  epoch 26/30  loss=0.7837  (no eval)  (62s)
  epoch 27/30  loss=0.7835  test_acc=99.58  best=99.59  (62s)
  epoch 28/30  loss=0.7834  test_acc=99.59  best=99.59  (61s)
  epoch 29/30  loss=0.7836  test_acc=99.59  best=99.59  (62s)
  epoch 30/30  loss=0.7834  test_acc=99.59  best=99.59  (62s)
[DONE] ssf/flowers102  best_acc=99.59  trainable%=0.099  mem=3143MB  time=2753s
