[RUN] method=ssf dataset=pets classes=37 trainable=234,533 (0.077%) lr=0.002 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=2.3790  test_acc=90.22  best=90.22  (97s)
  epoch 2/20  loss=0.9080  test_acc=92.61  best=92.61  (55s)
  epoch 3/20  loss=0.8219  (no eval)  (59s)
  epoch 4/20  loss=0.7785  test_acc=93.08  best=93.08  (59s)
  epoch 5/20  loss=0.7500  (no eval)  (59s)
  epoch 6/20  loss=0.7311  test_acc=94.58  best=94.58  (60s)
  epoch 7/20  loss=0.7207  (no eval)  (59s)
  epoch 8/20  loss=0.7188  test_acc=95.09  best=95.09  (60s)
  epoch 9/20  loss=0.7094  (no eval)  (59s)
  epoch 10/20  loss=0.7058  test_acc=95.01  best=95.09  (59s)
  epoch 11/20  loss=0.7000  (no eval)  (60s)
  epoch 12/20  loss=0.6956  test_acc=94.88  best=95.09  (60s)
  epoch 13/20  loss=0.6926  (no eval)  (60s)
  epoch 14/20  loss=0.6934  test_acc=95.09  best=95.09  (60s)
  epoch 15/20  loss=0.6914  (no eval)  (60s)
  epoch 16/20  loss=0.6890  test_acc=94.99  best=95.09  (60s)
  epoch 17/20  loss=0.6916  (no eval)  (60s)
  epoch 18/20  loss=0.6903  test_acc=95.09  best=95.09  (59s)
  epoch 19/20  loss=0.6875  test_acc=95.12  best=95.12  (60s)
  epoch 20/20  loss=0.6874  test_acc=95.07  best=95.12  (60s)
[DONE] ssf/pets  best_acc=95.12  trainable%=0.077  mem=3142MB  time=1500s
