[RUN] method=adaptformer dataset=dtd classes=47 trainable=613,307 (2.753%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9325  test_acc=28.40  best=28.40  (42s)
  epoch 2/20  loss=2.1497  test_acc=71.38  best=71.38  (6s)
  epoch 3/20  loss=1.3699  (no eval)  (5s)
  epoch 4/20  loss=1.1787  test_acc=77.55  best=77.55  (5s)
  epoch 5/20  loss=1.0667  (no eval)  (5s)
  epoch 6/20  loss=0.9832  test_acc=78.83  best=78.83  (5s)
  epoch 7/20  loss=0.9254  (no eval)  (5s)
  epoch 8/20  loss=0.8847  test_acc=79.57  best=79.57  (6s)
  epoch 9/20  loss=0.8511  (no eval)  (6s)
  epoch 10/20  loss=0.8250  test_acc=79.89  best=79.89  (6s)
  epoch 11/20  loss=0.8056  (no eval)  (5s)
  epoch 12/20  loss=0.7926  test_acc=79.79  best=79.89  (6s)
  epoch 13/20  loss=0.7835  (no eval)  (5s)
  epoch 14/20  loss=0.7760  test_acc=79.95  best=79.95  (6s)
  epoch 15/20  loss=0.7713  (no eval)  (6s)
  epoch 16/20  loss=0.7670  test_acc=79.84  best=79.95  (6s)
  epoch 17/20  loss=0.7651  (no eval)  (6s)
  epoch 18/20  loss=0.7644  test_acc=80.27  best=80.27  (6s)
  epoch 19/20  loss=0.7633  test_acc=80.16  best=80.27  (6s)
  epoch 20/20  loss=0.7622  test_acc=80.11  best=80.27  (6s)
[DONE] adaptformer/dtd  best_acc=80.27  trainable%=2.753  mem=3384MB  time=211s
