[RUN] method=adaptformer dataset=flowers102 classes=102 trainable=634,482 (2.845%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.9597  test_acc=7.81  best=7.81  (41s)
  epoch 2/30  loss=3.6465  (no eval)  (3s)
  epoch 3/30  loss=1.4095  test_acc=98.81  best=98.81  (3s)
  epoch 4/30  loss=0.8903  (no eval)  (3s)
  epoch 5/30  loss=0.8512  (no eval)  (3s)
  epoch 6/30  loss=0.8331  test_acc=99.50  best=99.50  (3s)
  epoch 7/30  loss=0.8245  (no eval)  (3s)
  epoch 8/30  loss=0.8217  (no eval)  (3s)
  epoch 9/30  loss=0.8137  test_acc=99.59  best=99.59  (3s)
  epoch 10/30  loss=0.8098  (no eval)  (3s)
  epoch 11/30  loss=0.8082  (no eval)  (3s)
  epoch 12/30  loss=0.8060  test_acc=99.59  best=99.59  (3s)
  epoch 13/30  loss=0.8045  (no eval)  (3s)
  epoch 14/30  loss=0.8031  (no eval)  (3s)
  epoch 15/30  loss=0.8017  test_acc=99.56  best=99.59  (3s)
  epoch 16/30  loss=0.8004  (no eval)  (3s)
  epoch 17/30  loss=0.7996  (no eval)  (3s)
  epoch 18/30  loss=0.7987  test_acc=99.58  best=99.59  (3s)
  epoch 19/30  loss=0.7986  (no eval)  (3s)
  epoch 20/30  loss=0.7980  (no eval)  (3s)
  epoch 21/30  loss=0.7972  test_acc=99.56  best=99.59  (3s)
  epoch 22/30  loss=0.7972  (no eval)  (3s)
  epoch 23/30  loss=0.7969  (no eval)  (4s)
  epoch 24/30  loss=0.7963  test_acc=99.61  best=99.61  (3s)
  epoch 25/30  loss=0.7967  (no eval)  (3s)
  epoch 26/30  loss=0.7961  (no eval)  (3s)
  epoch 27/30  loss=0.7961  test_acc=99.58  best=99.61  (3s)
  epoch 28/30  loss=0.7958  test_acc=99.61  best=99.61  (4s)
  epoch 29/30  loss=0.7957  test_acc=99.59  best=99.61  (3s)
  epoch 30/30  loss=0.7956  test_acc=99.59  best=99.61  (3s)
[DONE] adaptformer/flowers102  best_acc=99.61  trainable%=2.845  mem=3385MB  time=252s
