[RUN] method=adaptformer dataset=pets classes=37 trainable=609,457 (2.736%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5371  test_acc=54.43  best=54.43  (43s)
  epoch 2/20  loss=1.3855  test_acc=90.49  best=90.49  (5s)
  epoch 3/20  loss=0.9432  (no eval)  (5s)
  epoch 4/20  loss=0.8647  test_acc=91.93  best=91.93  (5s)
  epoch 5/20  loss=0.8246  (no eval)  (5s)
  epoch 6/20  loss=0.7934  test_acc=93.24  best=93.24  (5s)
  epoch 7/20  loss=0.7765  (no eval)  (5s)
  epoch 8/20  loss=0.7657  test_acc=93.16  best=93.24  (5s)
  epoch 9/20  loss=0.7550  (no eval)  (5s)
  epoch 10/20  loss=0.7436  test_acc=93.43  best=93.43  (5s)
  epoch 11/20  loss=0.7353  (no eval)  (5s)
  epoch 12/20  loss=0.7292  test_acc=93.21  best=93.43  (5s)
  epoch 13/20  loss=0.7278  (no eval)  (6s)
  epoch 14/20  loss=0.7203  test_acc=93.51  best=93.51  (6s)
  epoch 15/20  loss=0.7200  (no eval)  (6s)
  epoch 16/20  loss=0.7148  test_acc=93.62  best=93.62  (5s)
  epoch 17/20  loss=0.7165  (no eval)  (5s)
  epoch 18/20  loss=0.7117  test_acc=93.59  best=93.62  (5s)
  epoch 19/20  loss=0.7132  test_acc=93.62  best=93.62  (5s)
  epoch 20/20  loss=0.7145  test_acc=93.59  best=93.62  (5s)
[DONE] adaptformer/pets  best_acc=93.62  trainable%=2.736  mem=3384MB  time=223s
