[RUN] method=bitfit dataset=dtd classes=47 trainable=69,551 (0.321%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9155  test_acc=26.60  best=26.60  (40s)
  epoch 2/20  loss=2.2710  test_acc=69.57  best=69.57  (5s)
  epoch 3/20  loss=1.4161  (no eval)  (5s)
  epoch 4/20  loss=1.2339  test_acc=77.13  best=77.13  (5s)
  epoch 5/20  loss=1.1413  (no eval)  (5s)
  epoch 6/20  loss=1.0729  test_acc=77.93  best=77.93  (5s)
  epoch 7/20  loss=1.0281  (no eval)  (5s)
  epoch 8/20  loss=0.9880  test_acc=77.71  best=77.93  (5s)
  epoch 9/20  loss=0.9606  (no eval)  (6s)
  epoch 10/20  loss=0.9368  test_acc=78.67  best=78.67  (6s)
  epoch 11/20  loss=0.9193  (no eval)  (6s)
  epoch 12/20  loss=0.9016  test_acc=78.67  best=78.67  (5s)
  epoch 13/20  loss=0.8932  (no eval)  (5s)
  epoch 14/20  loss=0.8831  test_acc=78.19  best=78.67  (5s)
  epoch 15/20  loss=0.8747  (no eval)  (5s)
  epoch 16/20  loss=0.8691  test_acc=78.03  best=78.67  (5s)
  epoch 17/20  loss=0.8686  (no eval)  (6s)
  epoch 18/20  loss=0.8614  test_acc=78.24  best=78.67  (5s)
  epoch 19/20  loss=0.8653  test_acc=78.40  best=78.67  (5s)
  epoch 20/20  loss=0.8600  test_acc=78.30  best=78.67  (5s)
[DONE] bitfit/dtd  best_acc=78.67  trainable%=0.321  mem=3124MB  time=202s
