[RUN] method=bitfit dataset=flowers102 classes=102 trainable=90,726 (0.418%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.9161  test_acc=9.92  best=9.92  (38s)
  epoch 2/30  loss=3.7431  (no eval)  (3s)
  epoch 3/30  loss=1.5825  test_acc=98.62  best=98.62  (3s)
  epoch 4/30  loss=0.9117  (no eval)  (3s)
  epoch 5/30  loss=0.8658  (no eval)  (3s)
  epoch 6/30  loss=0.8388  test_acc=99.54  best=99.54  (3s)
  epoch 7/30  loss=0.8280  (no eval)  (3s)
  epoch 8/30  loss=0.8208  (no eval)  (3s)
  epoch 9/30  loss=0.8159  test_acc=99.58  best=99.58  (3s)
  epoch 10/30  loss=0.8123  (no eval)  (3s)
  epoch 11/30  loss=0.8107  (no eval)  (3s)
  epoch 12/30  loss=0.8088  test_acc=99.58  best=99.58  (3s)
  epoch 13/30  loss=0.8061  (no eval)  (3s)
  epoch 14/30  loss=0.8052  (no eval)  (3s)
  epoch 15/30  loss=0.8033  test_acc=99.61  best=99.61  (3s)
  epoch 16/30  loss=0.8031  (no eval)  (3s)
  epoch 17/30  loss=0.8018  (no eval)  (3s)
  epoch 18/30  loss=0.8019  test_acc=99.59  best=99.61  (3s)
  epoch 19/30  loss=0.8010  (no eval)  (3s)
  epoch 20/30  loss=0.8002  (no eval)  (3s)
  epoch 21/30  loss=0.8007  test_acc=99.59  best=99.61  (3s)
  epoch 22/30  loss=0.7996  (no eval)  (3s)
  epoch 23/30  loss=0.7993  (no eval)  (3s)
  epoch 24/30  loss=0.7989  test_acc=99.59  best=99.61  (3s)
  epoch 25/30  loss=0.7985  (no eval)  (3s)
  epoch 26/30  loss=0.7989  (no eval)  (3s)
  epoch 27/30  loss=0.8000  test_acc=99.58  best=99.61  (3s)
  epoch 28/30  loss=0.7994  test_acc=99.58  best=99.61  (3s)
  epoch 29/30  loss=0.7984  test_acc=99.58  best=99.61  (3s)
  epoch 30/30  loss=0.7982  test_acc=99.58  best=99.61  (3s)
[DONE] bitfit/flowers102  best_acc=99.61  trainable%=0.418  mem=3125MB  time=241s
