[RUN] method=bitfit dataset=pets classes=37 trainable=65,701 (0.303%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5497  test_acc=51.51  best=51.51  (42s)
  epoch 2/20  loss=1.4692  test_acc=90.00  best=90.00  (5s)
  epoch 3/20  loss=0.9588  (no eval)  (5s)
  epoch 4/20  loss=0.8779  test_acc=91.74  best=91.74  (5s)
  epoch 5/20  loss=0.8446  (no eval)  (5s)
  epoch 6/20  loss=0.8248  test_acc=93.57  best=93.57  (5s)
  epoch 7/20  loss=0.8046  (no eval)  (5s)
  epoch 8/20  loss=0.7964  test_acc=92.91  best=93.57  (5s)
  epoch 9/20  loss=0.7809  (no eval)  (5s)
  epoch 10/20  loss=0.7764  test_acc=93.24  best=93.57  (5s)
  epoch 11/20  loss=0.7648  (no eval)  (5s)
  epoch 12/20  loss=0.7645  test_acc=93.38  best=93.57  (5s)
  epoch 13/20  loss=0.7608  (no eval)  (5s)
  epoch 14/20  loss=0.7550  test_acc=93.19  best=93.57  (5s)
  epoch 15/20  loss=0.7507  (no eval)  (5s)
  epoch 16/20  loss=0.7504  test_acc=93.51  best=93.57  (6s)
  epoch 17/20  loss=0.7511  (no eval)  (5s)
  epoch 18/20  loss=0.7496  test_acc=93.43  best=93.57  (5s)
  epoch 19/20  loss=0.7476  test_acc=93.49  best=93.57  (5s)
  epoch 20/20  loss=0.7470  test_acc=93.43  best=93.57  (5s)
[DONE] bitfit/pets  best_acc=93.57  trainable%=0.303  mem=3124MB  time=213s
