[RUN] method=full_ft dataset=flowers102 classes=102 trainable=21,704,934 (100.000%) lr=0.0001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.8680  test_acc=3.79  best=3.79  (42s)
  epoch 2/30  loss=4.0427  (no eval)  (4s)
  epoch 3/30  loss=2.2256  test_acc=95.14  best=95.14  (4s)
  epoch 4/30  loss=1.0169  (no eval)  (3s)
  epoch 5/30  loss=0.8608  (no eval)  (4s)
  epoch 6/30  loss=0.8384  test_acc=98.98  best=98.98  (3s)
  epoch 7/30  loss=0.8223  (no eval)  (4s)
  epoch 8/30  loss=0.8159  (no eval)  (4s)
  epoch 9/30  loss=0.8113  test_acc=99.07  best=99.07  (3s)
  epoch 10/30  loss=0.8053  (no eval)  (4s)
  epoch 11/30  loss=0.8034  (no eval)  (4s)
  epoch 12/30  loss=0.7996  test_acc=99.33  best=99.33  (4s)
  epoch 13/30  loss=0.7971  (no eval)  (4s)
  epoch 14/30  loss=0.7955  (no eval)  (4s)
  epoch 15/30  loss=0.7944  test_acc=99.41  best=99.41  (4s)
  epoch 16/30  loss=0.7935  (no eval)  (4s)
  epoch 17/30  loss=0.7931  (no eval)  (4s)
  epoch 18/30  loss=0.7923  test_acc=99.33  best=99.41  (4s)
  epoch 19/30  loss=0.7918  (no eval)  (4s)
  epoch 20/30  loss=0.7909  (no eval)  (4s)
  epoch 21/30  loss=0.7915  test_acc=99.38  best=99.41  (4s)
  epoch 22/30  loss=0.7905  (no eval)  (4s)
  epoch 23/30  loss=0.7901  (no eval)  (4s)
  epoch 24/30  loss=0.7898  test_acc=99.40  best=99.41  (4s)
  epoch 25/30  loss=0.7897  (no eval)  (4s)
  epoch 26/30  loss=0.7897  (no eval)  (4s)
  epoch 27/30  loss=0.7910  test_acc=99.40  best=99.41  (4s)
  epoch 28/30  loss=0.7894  test_acc=99.38  best=99.41  (4s)
  epoch 29/30  loss=0.7895  test_acc=99.38  best=99.41  (4s)
  epoch 30/30  loss=0.7895  test_acc=99.38  best=99.41  (4s)
[DONE] full_ft/flowers102  best_acc=99.41  trainable%=100.000  mem=4606MB  time=267s
