[RUN] method=full_ft dataset=pets classes=37 trainable=21,679,909 (100.000%) lr=0.0001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5453  test_acc=46.50  best=46.50  (45s)
  epoch 2/20  loss=1.5260  test_acc=86.92  best=86.92  (6s)
  epoch 3/20  loss=0.9304  (no eval)  (6s)
  epoch 4/20  loss=0.8255  test_acc=89.34  best=89.34  (5s)
  epoch 5/20  loss=0.7782  (no eval)  (6s)
  epoch 6/20  loss=0.7470  test_acc=91.01  best=91.01  (6s)
  epoch 7/20  loss=0.7291  (no eval)  (6s)
  epoch 8/20  loss=0.7158  test_acc=90.62  best=91.01  (6s)
  epoch 9/20  loss=0.7134  (no eval)  (6s)
  epoch 10/20  loss=0.7014  test_acc=90.95  best=91.01  (6s)
  epoch 11/20  loss=0.6942  (no eval)  (6s)
  epoch 12/20  loss=0.6910  test_acc=91.69  best=91.69  (6s)
  epoch 13/20  loss=0.6887  (no eval)  (6s)
  epoch 14/20  loss=0.6845  test_acc=92.15  best=92.15  (6s)
  epoch 15/20  loss=0.6836  (no eval)  (6s)
  epoch 16/20  loss=0.6812  test_acc=92.20  best=92.20  (6s)
  epoch 17/20  loss=0.6811  (no eval)  (6s)
  epoch 18/20  loss=0.6828  test_acc=92.45  best=92.45  (6s)
  epoch 19/20  loss=0.6805  test_acc=92.34  best=92.45  (7s)
  epoch 20/20  loss=0.6807  test_acc=92.40  best=92.45  (6s)
[DONE] full_ft/pets  best_acc=92.45  trainable%=100.000  mem=4607MB  time=242s
