[RUN] method=linear_probe dataset=dtd classes=47 trainable=18,095 (0.083%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9597  test_acc=22.71  best=22.71  (45s)
  epoch 2/20  loss=2.4313  test_acc=66.22  best=66.22  (3s)
  epoch 3/20  loss=1.4999  (no eval)  (3s)
  epoch 4/20  loss=1.2951  test_acc=75.43  best=75.43  (3s)
  epoch 5/20  loss=1.1976  (no eval)  (3s)
  epoch 6/20  loss=1.1357  test_acc=76.44  best=76.44  (3s)
  epoch 7/20  loss=1.0994  (no eval)  (3s)
  epoch 8/20  loss=1.0606  test_acc=76.76  best=76.76  (3s)
  epoch 9/20  loss=1.0347  (no eval)  (3s)
  epoch 10/20  loss=1.0131  test_acc=77.23  best=77.23  (3s)
  epoch 11/20  loss=1.0007  (no eval)  (3s)
  epoch 12/20  loss=0.9923  test_acc=76.81  best=77.23  (3s)
  epoch 13/20  loss=0.9840  (no eval)  (3s)
  epoch 14/20  loss=0.9703  test_acc=77.23  best=77.23  (3s)
  epoch 15/20  loss=0.9655  (no eval)  (3s)
  epoch 16/20  loss=0.9565  test_acc=77.29  best=77.29  (3s)
  epoch 17/20  loss=0.9602  (no eval)  (3s)
  epoch 18/20  loss=0.9580  test_acc=77.55  best=77.55  (3s)
  epoch 19/20  loss=0.9599  test_acc=77.39  best=77.55  (3s)
  epoch 20/20  loss=0.9555  test_acc=77.45  best=77.55  (3s)
[DONE] linear_probe/dtd  best_acc=77.55  trainable%=0.083  mem=914MB  time=166s
