[RUN] method=linear_probe dataset=flowers102 classes=102 trainable=39,270 (0.181%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.9829  test_acc=6.90  best=6.90  (41s)
  epoch 2/30  loss=3.7486  (no eval)  (3s)
  epoch 3/30  loss=1.8171  test_acc=98.21  best=98.21  (2s)
  epoch 4/30  loss=0.9179  (no eval)  (2s)
  epoch 5/30  loss=0.8842  (no eval)  (2s)
  epoch 6/30  loss=0.8478  test_acc=99.51  best=99.51  (2s)
  epoch 7/30  loss=0.8346  (no eval)  (2s)
  epoch 8/30  loss=0.8269  (no eval)  (2s)
  epoch 9/30  loss=0.8219  test_acc=99.58  best=99.58  (2s)
  epoch 10/30  loss=0.8178  (no eval)  (2s)
  epoch 11/30  loss=0.8165  (no eval)  (2s)
  epoch 12/30  loss=0.8150  test_acc=99.56  best=99.58  (2s)
  epoch 13/30  loss=0.8121  (no eval)  (2s)
  epoch 14/30  loss=0.8105  (no eval)  (2s)
  epoch 15/30  loss=0.8089  test_acc=99.58  best=99.58  (2s)
  epoch 16/30  loss=0.8088  (no eval)  (2s)
  epoch 17/30  loss=0.8077  (no eval)  (2s)
  epoch 18/30  loss=0.8077  test_acc=99.53  best=99.58  (2s)
  epoch 19/30  loss=0.8065  (no eval)  (2s)
  epoch 20/30  loss=0.8055  (no eval)  (2s)
  epoch 21/30  loss=0.8066  test_acc=99.54  best=99.58  (2s)
  epoch 22/30  loss=0.8047  (no eval)  (2s)
  epoch 23/30  loss=0.8052  (no eval)  (2s)
  epoch 24/30  loss=0.8045  test_acc=99.54  best=99.58  (2s)
  epoch 25/30  loss=0.8040  (no eval)  (2s)
  epoch 26/30  loss=0.8041  (no eval)  (2s)
  epoch 27/30  loss=0.8049  test_acc=99.54  best=99.58  (2s)
  epoch 28/30  loss=0.8044  test_acc=99.54  best=99.58  (2s)
  epoch 29/30  loss=0.8033  test_acc=99.54  best=99.58  (2s)
  epoch 30/30  loss=0.8037  test_acc=99.54  best=99.58  (2s)
[DONE] linear_probe/flowers102  best_acc=99.58  trainable%=0.181  mem=915MB  time=225s
