[RUN] method=linear_probe dataset=pets classes=37 trainable=14,245 (0.066%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.5958  test_acc=45.98  best=45.98  (42s)
  epoch 2/20  loss=1.5822  test_acc=88.74  best=88.74  (3s)
  epoch 3/20  loss=0.9876  (no eval)  (2s)
  epoch 4/20  loss=0.9014  test_acc=91.69  best=91.69  (3s)
  epoch 5/20  loss=0.8658  (no eval)  (2s)
  epoch 6/20  loss=0.8400  test_acc=92.83  best=92.83  (3s)
  epoch 7/20  loss=0.8250  (no eval)  (3s)
  epoch 8/20  loss=0.8151  test_acc=92.83  best=92.83  (3s)
  epoch 9/20  loss=0.8027  (no eval)  (3s)
  epoch 10/20  loss=0.8013  test_acc=92.97  best=92.97  (3s)
  epoch 11/20  loss=0.7894  (no eval)  (3s)
  epoch 12/20  loss=0.7896  test_acc=93.24  best=93.24  (3s)
  epoch 13/20  loss=0.7866  (no eval)  (3s)
  epoch 14/20  loss=0.7838  test_acc=93.24  best=93.24  (3s)
  epoch 15/20  loss=0.7794  (no eval)  (2s)
  epoch 16/20  loss=0.7786  test_acc=93.24  best=93.24  (3s)
  epoch 17/20  loss=0.7807  (no eval)  (3s)
  epoch 18/20  loss=0.7782  test_acc=93.05  best=93.24  (3s)
  epoch 19/20  loss=0.7785  test_acc=93.16  best=93.24  (3s)
  epoch 20/20  loss=0.7766  test_acc=93.19  best=93.24  (3s)
[DONE] linear_probe/pets  best_acc=93.24  trainable%=0.066  mem=914MB  time=171s
