[RUN] method=lora dataset=dtd classes=47 trainable=165,551 (0.758%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.9443  test_acc=25.43  best=25.43  (44s)
  epoch 2/20  loss=2.2602  test_acc=70.53  best=70.53  (6s)
  epoch 3/20  loss=1.3848  (no eval)  (6s)
  epoch 4/20  loss=1.1725  test_acc=77.55  best=77.55  (6s)
  epoch 5/20  loss=1.0619  (no eval)  (6s)
  epoch 6/20  loss=0.9859  test_acc=78.78  best=78.78  (6s)
  epoch 7/20  loss=0.9317  (no eval)  (6s)
  epoch 8/20  loss=0.8951  test_acc=79.36  best=79.36  (6s)
  epoch 9/20  loss=0.8652  (no eval)  (6s)
  epoch 10/20  loss=0.8379  test_acc=79.68  best=79.68  (6s)
  epoch 11/20  loss=0.8223  (no eval)  (6s)
  epoch 12/20  loss=0.8113  test_acc=79.26  best=79.68  (6s)
  epoch 13/20  loss=0.8042  (no eval)  (7s)
  epoch 14/20  loss=0.8000  test_acc=79.52  best=79.68  (7s)
  epoch 15/20  loss=0.7930  (no eval)  (7s)
  epoch 16/20  loss=0.7887  test_acc=79.79  best=79.79  (6s)
  epoch 17/20  loss=0.7857  (no eval)  (6s)
  epoch 18/20  loss=0.7866  test_acc=79.57  best=79.79  (6s)
  epoch 19/20  loss=0.7849  test_acc=79.63  best=79.79  (7s)
  epoch 20/20  loss=0.7877  test_acc=79.57  best=79.79  (7s)
[DONE] lora/dtd  best_acc=79.79  trainable%=0.758  mem=3508MB  time=230s
