[RUN] method=lora dataset=flowers102 classes=102 trainable=186,726 (0.854%) lr=0.001 epochs=30 amp=torch.bfloat16
  epoch 1/30  loss=4.9656  test_acc=8.39  best=8.39  (40s)
  epoch 2/30  loss=3.7052  (no eval)  (3s)
  epoch 3/30  loss=1.5355  test_acc=99.07  best=99.07  (3s)
  epoch 4/30  loss=0.9036  (no eval)  (4s)
  epoch 5/30  loss=0.8555  (no eval)  (4s)
  epoch 6/30  loss=0.8345  test_acc=99.53  best=99.53  (4s)
  epoch 7/30  loss=0.8244  (no eval)  (4s)
  epoch 8/30  loss=0.8184  (no eval)  (4s)
  epoch 9/30  loss=0.8136  test_acc=99.61  best=99.61  (4s)
  epoch 10/30  loss=0.8102  (no eval)  (4s)
  epoch 11/30  loss=0.8086  (no eval)  (4s)
  epoch 12/30  loss=0.8057  test_acc=99.66  best=99.66  (4s)
  epoch 13/30  loss=0.8041  (no eval)  (4s)
  epoch 14/30  loss=0.8029  (no eval)  (4s)
  epoch 15/30  loss=0.8018  test_acc=99.59  best=99.66  (4s)
  epoch 16/30  loss=0.8007  (no eval)  (4s)
  epoch 17/30  loss=0.7998  (no eval)  (4s)
  epoch 18/30  loss=0.7990  test_acc=99.58  best=99.66  (4s)
  epoch 19/30  loss=0.7990  (no eval)  (4s)
  epoch 20/30  loss=0.7979  (no eval)  (4s)
  epoch 21/30  loss=0.7981  test_acc=99.56  best=99.66  (4s)
  epoch 22/30  loss=0.7970  (no eval)  (4s)
  epoch 23/30  loss=0.7969  (no eval)  (4s)
  epoch 24/30  loss=0.7965  test_acc=99.58  best=99.66  (4s)
  epoch 25/30  loss=0.7965  (no eval)  (4s)
  epoch 26/30  loss=0.7962  (no eval)  (4s)
  epoch 27/30  loss=0.7962  test_acc=99.58  best=99.66  (4s)
  epoch 28/30  loss=0.7959  test_acc=99.58  best=99.66  (4s)
  epoch 29/30  loss=0.7962  test_acc=99.58  best=99.66  (4s)
  epoch 30/30  loss=0.7957  test_acc=99.58  best=99.66  (4s)
[DONE] lora/flowers102  best_acc=99.66  trainable%=0.854  mem=3508MB  time=269s
